sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,473,9,2,ZTF_g,462262473315,0,3.7672,116.766,4.05184,26.1739,1.92682e-05,0.0373142,-0.0194578,3.68348e-05,371,30.0,0.09378,0.08343,20.2903,26.1739,3,2458216.7624769,473120133,1,0.42538091739,29.759951,0.0159,1.090809,52.12053023015,38.622112,1.358589,1.240225,0.186025068784635,20.6879999160767,0.0390000008046627,0.767000019550323,0.025000000372529,2458229.759537,2458280.711678,0,5.52110785921,-5.09572694182,0.0,-5.09572694182,,
1,473,9,2,ZTF_r,463279363315,0,2.1151,239.319,6.0946,26.2009,6.8443e-06,0.0228721,0.125433,1.16927e-05,404,30.0,0.061211,0.061105,20.4728,26.2009,1,2458217.7793634,473120233,1,-44.58966174098,26.891699,-1.844466,0.928585,-51.8710355909,47.295738,-1.104125,1.070518,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-48.610259218509995,0.0,-48.610259218509995,,
2,473,9,2,ZTF_r,463280273315,0,1.9504,240.093,6.09218,26.2089,7.4569e-06,0.023913,0.119888,1.27833e-05,405,30.0,0.056183,0.061746,20.5595,26.2089,3,2458217.7802778,473120233,1,-24.88891308601,24.773794,-1.117553,0.999706,-65.71674891505,45.000122,-1.470204,1.065562,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-28.90951056354,0.0,-28.90951056354,,
3,473,9,2,ZTF_r,463304373315,0,1.9688,211.008,6.52182,26.0595,1.17063e-05,0.0298663,0.121323,2.00092e-05,404,30.0,0.061722,0.062101,20.3093,26.0595,3,2458217.804375,473120233,1,-25.94253109717,29.747768,-0.970092,0.869522,-57.1484121561,54.544537,-1.054795,1.071506,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-29.9631285747,0.0,-29.9631285747,,
4,473,9,2,ZTF_r,463305303315,0,2.0831,215.498,6.40677,26.0826,9.351e-06,0.0268606,0.120881,1.60817e-05,406,30.0,0.059196,0.061818,20.3809,26.0826,1,2458217.8053009,473120233,1,-1.55723538868,27.781929,-0.062351,0.938718,-2.01109813833,49.715252,-0.040725,1.069864,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-5.5778328662100005,0.0,-5.5778328662100005,,
5,473,9,2,ZTF_r,464276673315,0,2.1962,210.82,6.82561,26.0567,8.8986e-06,0.0259941,0.125325,1.52081e-05,406,30.0,0.0569,0.061887,20.1852,26.0567,3,2458218.7766782,473120233,1,-30.64818506732,31.20023,-1.092702,0.905974,-18.13432825584,53.282928,-0.342633,1.084592,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-34.66878254485,0.0,-34.66878254485,,
6,473,9,2,ZTF_r,464302563315,0,2.093,237.107,6.05224,26.1721,8.5466e-06,0.0253321,0.127936,1.46115e-05,403,30.0,0.055899,0.063008,20.4701,26.1721,3,2458218.8025694,473120233,1,12.48868991237,29.19589,0.475828,0.93779,45.03060925583,49.590214,0.91417,1.094203,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,8.46809243484,0.0,8.46809243484,23.85263602503678,3.7433501165761367
7,473,9,2,ZTF_r,465244443315,0,2.5284,204.257,7.08607,26.0326,1.22686e-05,0.0304107,0.128594,2.1171e-05,400,30.0,0.063913,0.070224,19.957,26.0326,3,2458219.7444444,473120233,1,63.25113185526,38.769382,1.814823,1.046499,83.260138179,60.472134,1.386108,1.109445,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,59.230534377729995,0.0,59.230534377729995,21.601235872844185,0.7106692876524975
8,473,9,2,ZTF_r,465303983315,33554432,2.6699,105.35,9.09064,25.3084,3.48781e-05,0.0486906,0.128382,6.01295e-05,361,30.0,0.071318,0.079214,19.0303,25.3084,3,2458219.8039815,473120233,1,27.83448717771,52.0877,0.594433,1.020745,31.37407579442,81.463959,0.387722,1.137131,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,23.81388970018,0.0,23.81388970018,21.866324155612542,2.374811608880197
9,473,9,2,ZTF_r,467255033315,0,4.2572,192.021,6.52204,25.9598,1.91775e-05,0.0367891,0.139904,3.28273e-05,372,30.0,0.08266,0.099699,19.7509,25.9598,1,2458221.7550347,473120233,1,33.81221336387,53.409359,0.704224,0.891528,34.3686948627,72.716537,0.475823,1.293258,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,29.79161588634,0.0,29.79161588634,22.274564850430956,1.946469602738575
10,473,9,2,ZTF_r,470262403315,0,11.959,210.096,6.28045,26.0592,9.3721e-06,0.0267035,0.128982,1.60446e-05,404,30.0,0.069613,0.06991,20.0383,26.0592,3,2458224.7624074,473120233,1,-25.7211408563,37.946247,-0.754008,0.969395,-32.65030332855,57.266003,-0.573992,1.124515,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-29.74173833383,0.0,-29.74173833383,,
11,473,9,2,ZTF_r,470263313315,0,3.0129,213.187,6.27227,26.068,1.01744e-05,0.0277372,0.125028,1.74042e-05,402,30.0,0.061687,0.064377,20.2135,26.068,1,2458224.7633102,473120233,1,-6.65111854303,29.656065,-0.24948,1.075444,50.80397728995,47.558842,1.075429,1.106041,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-10.67171602056,0.0,-10.67171602056,,
12,473,9,2,ZTF_r,470281373315,0,2.3825,219.306,6.14523,26.0964,8.2782e-06,0.0249325,0.128036,1.4092e-05,401,30.0,0.06405,0.063401,20.2936,26.0964,3,2458224.7813773,473120233,1,47.99114846818,30.141424,1.771137,1.026153,59.68331047011,48.587925,1.23663,1.099445,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,43.97055099065,0.0,43.97055099065,21.98849523061189,0.7442625703445119
13,473,9,2,ZTF_r,473271263315,0,2.1784,193.271,6.50141,25.9581,9.9662e-06,0.0274002,0.133252,1.69915e-05,401,30.0,0.063602,0.067245,20.2218,25.9581,3,2458227.7712616,473120233,1,-8.20319654082,33.705429,-0.270731,0.919619,13.92875801339,55.005569,0.25493,1.110946,0.111458455046092,20.3930000305176,0.046000000089407,0.76800000667572,-0.0270000007003546,2458185.927488,2458227.771262,0,4.02059747753,-12.22379401835,0.0,-12.22379401835,,
