sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,473,9,2,ZTF_g,462262473315,0,3.7672,116.766,4.05184,26.1739,1.92682e-05,0.0373142,-0.0194578,3.68348e-05,371,30.0,0.09378,0.08343,20.2903,26.1739,3,2458216.7624769,473120133,1,5.56520593359,31.854895,0.194339,0.864815,13.28323465038,41.137177,0.325076,1.240225,0.209394400654889,20.513000202179,0.0320000015199184,0.574000000953674,-0.0089999996125698,2458229.759537,2458280.711678,0,-4.16999100904,9.735196942630001,0.0,9.735196942630001,23.703038145739352,3.552677260058097
1,473,9,2,ZTF_r,463279363315,0,2.1151,239.319,6.0946,26.2009,6.8443e-06,0.0228721,0.125433,1.16927e-05,404,30.0,0.061211,0.061105,20.4728,26.2009,1,2458217.7793634,473120233,1,25.69499701076,26.463602,1.080076,0.918134,8.69190054971,46.177593,0.189495,1.070518,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,16.045253459420003,0.0,16.045253459420003,23.18753354541495,1.7907159193450506
2,473,9,2,ZTF_r,463280273315,0,1.9504,240.093,6.09218,26.2089,7.4569e-06,0.023913,0.119888,1.27833e-05,405,30.0,0.056183,0.061746,20.5595,26.2089,3,2458217.7802778,473120233,1,-14.51233610821,24.850231,-0.649623,0.984118,-62.05156116542,45.132687,-1.384129,1.065562,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,-24.16207965955,0.0,-24.16207965955,,
3,473,9,2,ZTF_r,463304373315,0,1.9688,211.008,6.52182,26.0595,1.17063e-05,0.0298663,0.121323,2.00092e-05,404,30.0,0.061722,0.062101,20.3093,26.0595,3,2458217.804375,473120233,1,73.72106147374,29.142914,2.813931,1.022311,71.19472443475,53.052967,1.350994,1.071506,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,64.0713179224,0.0,64.0713179224,21.54284085661395,0.49384838439370315
4,473,9,2,ZTF_r,463305303315,0,2.0831,215.498,6.40677,26.0826,9.351e-06,0.0268606,0.120881,1.60817e-05,406,30.0,0.059196,0.061818,20.3809,26.0826,1,2458217.8053009,473120233,1,-1.726651679,26.842571,-0.071554,0.963534,-1.76445926533,48.262756,-0.036806,1.069864,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,-11.376395230339998,0.0,-11.376395230339998,,
5,473,9,2,ZTF_r,464276673315,0,2.1962,210.82,6.82561,26.0567,8.8986e-06,0.0259941,0.125325,1.52081e-05,406,30.0,0.0569,0.061887,20.1852,26.0567,3,2458218.7766782,473120233,1,-3.1690220749,30.039938,-0.117349,0.943264,63.71354759122,51.357594,1.248942,1.084592,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,-12.818765626239998,0.0,-12.818765626239998,,
6,473,9,2,ZTF_r,464302563315,0,2.093,237.107,6.05224,26.1721,8.5466e-06,0.0253321,0.127936,1.46115e-05,403,30.0,0.055899,0.063008,20.4701,26.1721,3,2458218.8025694,473120233,1,-29.50323799695,24.940807,-1.315873,1.179321,-103.68357416259,42.439037,-2.459573,1.094203,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,-39.15298154829,0.0,-39.15298154829,,
7,473,9,2,ZTF_r,465244443315,0,2.5284,204.257,7.08607,26.0326,1.22686e-05,0.0304107,0.128594,2.1171e-05,400,30.0,0.063913,0.070224,19.957,26.0326,3,2458219.7444444,473120233,1,18.18741087036,39.417412,0.51326,0.915418,153.44976798391,61.67001,2.504998,1.109445,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,8.537667319020002,0.0,8.537667319020002,23.704251930087135,5.012717140070058
8,473,9,2,ZTF_r,465303983315,33554432,2.6699,105.35,9.09064,25.3084,3.48781e-05,0.0486906,0.128382,6.01295e-05,361,30.0,0.071318,0.079214,19.0303,25.3084,3,2458219.8039815,473120233,1,5.0513304094,49.836632,0.112749,0.944936,129.69819121996,77.971931,1.674599,1.137131,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,-4.598413141939998,0.0,-4.598413141939998,,
9,473,9,2,ZTF_r,467255033315,0,4.2572,192.021,6.52204,25.9598,1.91775e-05,0.0367891,0.139904,3.28273e-05,372,30.0,0.08266,0.099699,19.7509,25.9598,1,2458221.7550347,473120233,1,20.7388243738,43.020145,0.53625,1.051145,-22.68421649676,58.495583,-0.390405,1.293258,0.127558975234502,20.5009998321533,0.0700000002980232,1.47099995613098,-0.186000004410744,2458185.927488,2458227.771262,0,9.649743551339999,11.089080822460001,0.0,11.089080822460001,23.347561127926852,4.212119084373541
