sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,525,2,2,ZTF_g,462264460515,0,3.4842,89.8273,4.35681,26.2439,2.2394e-05,0.0382996,-0.00858858,3.64985e-05,386,30.0,0.088457,0.070377,20.3978,26.2439,3,2458216.7644676,525120105,1,3.73590446617,29.395975,0.141372,0.90071,-8.19032270535,39.865349,-0.206833,1.157162,,,,,,2458166.907303,2458275.711701,57,3.326128319525,0.40977614664500006,0.0,0.40977614664500006,27.212533314458575,77.88709663306675
1,525,2,2,ZTF_r,463278910515,0,2.0872,216.129,6.38576,26.2212,7.7242e-06,0.0225235,0.108911,1.2018e-05,396,30.0,0.056462,0.053189,20.5326,26.275,3,2458217.778912,525120205,1,-49.22196155707,25.899725,-2.114066,0.952274,-91.33414626997,49.708447,-1.849772,1.042637,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-38.46637343345,0.0,-38.46637343345,,
2,525,2,2,ZTF_r,463279820515,0,2.1206,216.147,6.2829,26.233,8.3364e-06,0.0232906,0.109441,1.29198e-05,396,30.0,0.059046,0.049629,20.4541,26.275,1,2458217.7798264,525120205,1,-46.3659419578,29.229616,-1.764537,0.917812,-49.40916244816,53.418926,-0.931167,1.041965,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-35.610353834179996,0.0,-35.610353834179996,,
3,525,2,2,ZTF_r,463305750515,0,1.772,216.211,7.75845,26.094,9.2401e-06,0.0245881,0.106518,1.42878e-05,398,30.0,0.05387,0.057381,20.3953,26.275,3,2458217.8057523,525120205,1,11.91842559596,30.833466,0.429983,0.93914,-14.32557840522,60.757183,-0.237372,1.03576,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,22.674013719580003,0.0,22.674013719580003,22.886178987291476,1.4764483592717401
4,525,2,2,ZTF_r,463306740515,0,1.7416,217.101,12.5301,25.7611,2.34053e-05,0.0393682,0.106584,3.65574e-05,397,30.0,0.058548,0.056448,19.9143,26.275,1,2458217.8067477,525120205,1,-24.33210365359,47.490677,-0.569936,0.981897,-17.92636291438,95.728752,-0.188523,1.037107,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-13.576515529969999,0.0,-13.576515529969999,,
5,525,2,2,ZTF_r,464259740515,0,2.0912,174.427,6.77495,26.0219,1.03343e-05,0.0258339,0.112268,1.58423e-05,395,30.0,0.056242,0.049081,20.2163,26.0219,2,2458218.7597454,525120205,1,3.81977117541,29.272638,0.145154,0.983355,108.40726880738,54.045731,2.019353,1.060037,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,14.575359299030001,0.0,14.575359299030001,23.112851826471637,2.1805543337441935
6,525,2,2,ZTF_r,464277140515,0,1.9566,182.801,6.5266,26.0718,8.9317e-06,0.0240144,0.110467,1.37639e-05,396,30.0,0.056939,0.050279,20.3002,26.0718,3,2458218.7771412,525120205,1,-27.99529852719,28.903599,-1.077427,0.965473,-88.77432282813,53.594261,-1.667571,1.058907,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-17.239710403569998,0.0,-17.239710403569998,,
7,525,2,2,ZTF_r,464302110515,0,2.1582,203.686,6.03327,26.199,1.04179e-05,0.0259631,0.113332,1.60569e-05,396,30.0,0.058537,0.054578,20.4617,26.199,3,2458218.8021181,525120205,1,23.2074049835,26.82724,0.962289,1.028723,67.56463926721,48.407417,1.40515,1.064153,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,33.96299310712,0.0,33.96299310712,22.37148510756715,0.8576189280452209
8,525,2,2,ZTF_r,465214360515,0,2.5266,220.373,7.3215,26.1774,1.10342e-05,0.0265344,0.117945,1.70395e-05,394,30.0,0.060477,0.059197,20.1542,26.275,2,2458219.7143634,525120205,1,0.08137566337,38.166824,0.002372,0.943508,81.82920062575,62.064125,1.327342,1.067656,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,10.836963786990001,0.0,10.836963786990001,23.68773094469189,3.823866486218214
9,525,2,2,ZTF_r,465243980515,0,2.6274,180.773,7.51818,26.0452,1.32541e-05,0.0291521,0.118614,2.03882e-05,395,30.0,0.063401,0.059432,19.887,26.0452,3,2458219.7439815,525120205,1,-27.0603364653,40.783566,-0.738079,0.972127,-90.79450677303,65.001587,-1.406212,1.084379,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-16.30474834168,0.0,-16.30474834168,,
10,525,2,2,ZTF_r,465303510515,33554432,2.8356,91.917,9.60759,25.3236,5.41926e-05,0.0526182,0.103759,8.46725e-05,321,30.0,0.068327,0.067434,18.7718,25.3236,3,2458219.8035185,525120205,1,53.72658785582,58.104565,1.02857,0.954498,-85.42840378539,88.490837,-0.971895,1.094243,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,64.48217597944,0.0,64.48217597944,20.800000788742587,0.978351442456547
11,525,2,2,ZTF_r,467255490515,0,4.0016,168.674,6.99348,25.9599,2.11007e-05,0.0369823,0.136314,3.26558e-05,393,30.0,0.086223,0.082974,19.5471,25.9599,1,2458221.7554977,525120205,1,5.73091037678,48.035549,0.132714,0.958983,33.07433842776,65.936417,0.504988,1.21564,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,16.4864985004,0.0,16.4864985004,22.917078931451,3.1634330760693534
12,525,2,2,ZTF_r,468278780515,0,3.3376,216.098,6.18418,26.2091,1.20094e-05,0.0282444,0.117048,1.87134e-05,397,30.0,0.069726,0.062203,20.0487,26.275,3,2458222.7787847,525120205,1,15.0593746357,40.476078,0.413869,0.939391,-28.7517254747,56.018124,-0.516714,1.122968,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,25.81496275932,0.0,25.81496275932,22.74532124282443,1.7023593534082486
13,525,2,2,ZTF_r,470233180515,0,2.1572,216.121,6.41724,26.1917,8.2087e-06,0.0233514,0.108243,1.27985e-05,397,30.0,0.057006,0.05004,20.3706,26.275,2,2458224.7331829,525120205,1,-48.96345374387,30.21476,-1.802635,0.965084,2.649058439,53.609272,0.049747,1.052844,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-38.20786562025,0.0,-38.20786562025,,
14,525,2,2,ZTF_r,470261940515,0,2.8308,179.181,6.40699,26.05,1.18678e-05,0.0280569,0.111519,1.85355e-05,398,30.0,0.06363,0.060141,19.9793,26.05,3,2458224.7619444,525120205,1,-38.77995035091,36.175594,-1.192467,1.098533,-11.78304749717,55.820625,-0.212509,1.100028,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-28.02436222729,0.0,-28.02436222729,,
15,525,2,2,ZTF_r,470262850515,0,2.4304,182.299,6.37205,26.0669,1.07144e-05,0.0266661,0.112287,1.68005e-05,397,30.0,0.058865,0.057347,20.1151,26.0669,1,2458224.7628588,525120205,1,-5.60923928213,33.501751,-0.186248,1.021756,55.44365777494,55.472313,1.006215,1.07959,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,5.146348841490001,0.0,5.146348841490001,24.288151946985675,7.067935949122453
16,525,2,2,ZTF_r,470279990515,0,2.3816,189.294,6.40128,26.1175,9.3399e-06,0.0250543,0.11139,1.46323e-05,400,30.0,0.061208,0.055258,20.1984,26.1175,1,2458224.78,525120205,1,-10.75558812362,32.48048,-0.368355,0.955542,-24.0116104223,54.935692,-0.44003,1.077924,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,0.0,0.0,0.0,,
17,525,2,2,ZTF_r,470280920515,0,2.4137,192.023,6.20392,26.1222,9.1335e-06,0.0247359,0.11468,1.43516e-05,399,30.0,0.063789,0.058,20.1962,26.1222,3,2458224.7809259,525120205,1,-41.22104135698,32.247959,-1.421908,1.047088,-88.8369877761,53.133705,-1.683212,1.080018,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-30.46545323336,0.0,-30.46545323336,,
18,525,2,2,ZTF_r,472231780515,0,1.9375,216.061,6.42301,26.2297,9.3737e-06,0.0247419,0.107534,1.4406e-05,399,30.0,0.054823,0.052897,20.4725,26.275,2,2458226.7317824,525120205,1,-44.4544890159,28.072142,-1.76155,0.971364,-87.159277253,53.270874,-1.647172,1.040269,0.30085206551905,22.1740001678467,0.208000004291534,1.28699994087219,-0.257999986410141,2458155.925868,2458186.875729,0,-10.75558812362,-33.69890089228,0.0,-33.69890089228,,
