sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,525,2,1,ZTF_g,462264460415,0,3.7073,90.6379,4.19107,26.2217,2.27465e-05,0.0375754,-0.00048747,3.62184e-05,376,30.0,0.083061,0.070512,20.3713,26.2217,3,2458216.7644676,525120104,1,7.73851085709,32.457294,0.265216,0.937895,16.57713404842,43.911079,0.380059,1.164963,0.116350286665096,18.7840001106262,0.0549999997019768,4.30299997329712,0.263000011444092,2458166.907303,2458249.690706,0,-5.25491924633,12.99343010342,0.0,12.99343010342,23.437390463667978,2.7121444394427665
1,525,2,1,ZTF_r,463278910415,0,1.8171,221.065,6.68892,26.188,1.10675e-05,0.0263894,0.116702,1.69024e-05,391,30.0,0.055602,0.048488,20.496,26.275,3,2458217.778912,525120204,1,-57.56172692338,27.70886,-2.31084,0.962721,-76.59955359936,53.12606,-1.451556,1.038272,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,-47.97335964982,0.0,-47.97335964982,,
2,525,2,1,ZTF_r,463279820415,0,2.1128,221.055,6.65053,26.1838,1.50665e-05,0.0306594,0.124236,2.30104e-05,389,30.0,0.058925,0.052402,20.3843,26.275,1,2458217.7798264,525120204,1,-45.85606685011,28.155993,-1.811677,1.16891,13.72084333074,51.687901,0.267243,1.043076,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,-36.26769957655,0.0,-36.26769957655,,
3,525,2,1,ZTF_r,463305750415,0,1.6993,221.28,8.12276,26.0481,1.44331e-05,0.0301052,0.118501,2.20673e-05,389,30.0,0.053187,0.051901,20.3223,26.275,3,2458217.8057523,525120204,1,-35.65306389888,31.213068,-1.270619,0.928204,0.67520743905,60.74086,0.011191,1.036933,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,56,-9.58836727356,-26.06469662532,0.0,-26.06469662532,,
4,525,2,1,ZTF_r,463306740415,0,1.6504,220.57,11.6143,25.7959,3.8984e-05,0.0495214,0.114805,5.96818e-05,389,30.0,0.05529,0.05337,19.9755,26.275,1,2458217.8067477,525120204,1,-95.94700247519,41.593811,-2.566005,1.086375,-73.57968558419,82.340607,-0.89962,1.040767,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,-86.35863520163001,0.0,-86.35863520163001,,
5,525,2,1,ZTF_r,464259740415,0,2.0194,167.962,7.26288,25.9866,1.23902e-05,0.0277013,0.126917,1.88115e-05,388,30.0,0.0538,0.052113,20.0486,25.9866,2,2458218.7597454,525120204,1,11.07749130122,31.163801,0.395408,0.920565,39.25184854172,56.734413,0.696512,1.062876,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,20.66585857478,0.0,20.66585857478,22.698466367494092,1.6372737140894618
6,525,2,1,ZTF_r,464277140415,0,2.1188,182.521,6.44695,26.0475,1.06549e-05,0.0258357,0.116232,1.63609e-05,390,30.0,0.051782,0.051073,20.2933,26.0475,3,2458218.7771412,525120204,1,3.43353141182,29.055,0.131454,0.954511,86.05554296692,54.218639,1.597885,1.061875,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,13.02189868538,0.0,13.02189868538,23.260814219821825,2.4225396151073557
7,525,2,1,ZTF_r,464302110415,0,1.9659,201.82,6.05479,26.1585,9.8901e-06,0.0249427,0.119686,1.51592e-05,391,30.0,0.060341,0.052973,20.4287,26.1585,3,2458218.8021181,525120204,1,12.49500068177,28.688494,0.484488,1.023379,93.25840428155,51.306946,1.829899,1.06809,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,22.083367955329997,0.0,22.083367955329997,22.79833672807361,1.41047944583419
8,525,2,1,ZTF_r,465214360415,0,2.5841,222.739,7.06578,26.1631,1.5437e-05,0.0308642,0.129331,2.34592e-05,387,30.0,0.061996,0.058989,20.1195,26.275,2,2458219.7143634,525120204,1,-53.89028579797,38.940952,-1.539426,1.038471,-35.40088599603,62.629536,-0.56905,1.07177,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,-44.30191852441,0.0,-44.30191852441,,
9,525,2,1,ZTF_r,465243980415,0,2.6384,175.909,7.75358,26.0039,1.53215e-05,0.031049,0.128399,2.36311e-05,389,30.0,0.060913,0.062492,19.7427,26.0039,3,2458219.7439815,525120204,1,43.1067442022,38.641888,1.240914,1.127303,108.91886815633,60.521606,1.81179,1.091464,0.0884241841705539,17.6170000076294,0.0610000006854534,4.5789999961853,0.414000004529953,2458155.925868,2458186.875729,0,-9.58836727356,52.69511147576,0.0,52.69511147576,21.699474181018783,0.7961819540149973
