sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,468,2,3,ZTF_r,463199740615,0,1.9171,297.989,7.83485,25.8253,9.8396e-06,0.0267968,0.0948287,1.4608e-05,478,30.0,0.045248,0.048563,19.9223,25.8253,1,2458217.6997454,468120206,1,-57.3255818879,27.406704,-2.326732,0.976936,-21.44072051375,54.000458,-0.399721,1.032749,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-88.3446046658,0.0,-88.3446046658,,
1,468,2,3,ZTF_r,463218050615,0,1.7718,376.752,6.87925,26.063,8.5679e-06,0.0248962,0.104527,1.27571e-05,475,30.0,0.050852,0.052955,20.4078,26.063,1,2458217.7180556,468120206,1,-3.5011195723,23.503752,-0.165701,0.877851,33.16399458836,45.772938,0.729412,1.034289,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-34.5201423502,0.0,-34.5201423502,,
2,468,2,3,ZTF_r,467203400615,0,3.4857,272.718,8.18169,25.7232,3.27918e-05,0.0481015,0.137534,4.88769e-05,463,30.0,0.060516,0.058253,19.243,25.7232,1,2458221.7034028,468120206,1,-38.87984929113,51.126354,-0.84593,0.976256,-12.19165450546,73.072151,-0.167968,1.126872,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-69.89887206903,0.0,-69.89887206903,,
3,468,2,3,ZTF_r,470178540615,0,1.8999,248.911,7.75699,25.6072,1.4142e-05,0.0321551,0.100341,2.09766e-05,479,30.0,0.045858,0.047579,19.7354,25.6072,1,2458224.6785417,468120206,1,-66.15958208184,28.798784,-2.555485,0.984547,-138.19211714019,54.890755,-2.534541,1.040694,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-97.17860485974,0.0,-97.17860485974,,
4,468,2,3,ZTF_r,473245330615,0,3.6411,414.709,6.16409,26.1587,1.34358e-05,0.0278744,0.115458,2.01627e-05,383,30.0,0.057482,0.053297,20.1485,26.1587,1,2458227.7453356,468120206,1,-103.20077072888,31.496058,-3.644866,1.022457,-109.4526799035,50.515129,-2.181324,1.060882,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-134.21979350678,0.0,-134.21979350678,,
5,468,2,3,ZTF_r,477147210615,0,1.8836,413.928,10.1916,26.19,8.1585e-06,0.0245283,0.0864108,1.21843e-05,477,30.0,0.049363,0.055366,20.039,26.19,1,2458231.6472106,468120206,1,4.87990761804,35.121681,0.154558,0.954395,170.02825094731,70.642952,2.423078,1.028992,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-26.139115159859998,0.0,-26.139115159859998,,
6,468,2,3,ZTF_g,481207540615,0,2.8185,132.609,15.1738,26.2671,2.51254e-05,0.0368878,-0.0382114,4.95604e-05,338,30.0,0.046718,0.047713,19.3265,26.2671,1,2458235.7075463,468120106,1,-77.01219963344,80.845016,-1.059647,0.9608,84.66683201508,132.44191,0.643581,1.066335,0.162145661074443,19.3170001029968,0.0260000005364418,1.29799997806549,0.0049999998882412,2458166.891343,2458444.02037,0,,,0.0,,,
7,468,2,3,ZTF_g,484147780615,0,2.8959,130.215,15.3041,26.2731,3.52109e-05,0.039648,-0.0555713,7.44351e-05,295,30.0,0.053429,0.052438,19.1842,26.2731,1,2458238.6477894,468120106,1,-84.02872970413,81.169678,-1.151566,1.039155,-11.67083425978,124.073273,-0.094698,1.065825,0.162145661074443,19.3170001029968,0.0260000005364418,1.29799997806549,0.0049999998882412,2458166.891343,2458444.02037,0,,,0.0,,,
8,468,2,3,ZTF_r,489150700615,0,2.4784,408.687,7.14014,26.1654,9.8924e-06,0.026867,0.0727846,1.48232e-05,481,30.0,0.050789,0.052428,20.1058,26.1654,1,2458243.650706,468120206,1,-27.6123939423,30.395746,-1.010523,0.985153,73.99831310376,56.00164,1.330259,1.032369,0.142447428736104,19.226000213623,0.0270000007003546,1.10300004482269,-0.0309999994933605,2458160.768681,2458450.010741,0,31.0190227779,-58.631416720199994,0.0,-58.631416720199994,,
9,468,2,3,ZTF_g,489192610615,0,3.3648,122.421,5.15402,26.2403,2.68744e-05,0.0433759,-0.138427,4.33492e-05,448,30.0,0.068617,0.069658,20.2061,26.2403,1,2458243.6926157,468120106,1,-33.32708060749,29.200186,-1.269599,0.917193,-16.66505390314,44.009415,-0.381221,1.04429,0.162145661074443,19.3170001029968,0.0260000005364418,1.29799997806549,0.0049999998882412,2458166.891343,2458444.02037,0,,,0.0,,,
