sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,468,3,2,ZTF_r,463199740915,0,1.9054,312.463,7.77719,25.8391,9.888e-06,0.027897,0.0914241,1.50438e-05,523,30.0,0.044145,0.044877,19.9023,25.8391,1,2458217.6997454,468120209,1,-3.77280538673,31.572292,-0.132927,1.375043,105.32962292944,61.81477,1.715432,1.038155,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,-41.33970989183,0.0,-41.33970989183,,
1,468,3,2,ZTF_r,463218050915,0,1.746,385.092,7.0798,26.0699,7.8071e-06,0.0247117,0.101638,1.18405e-05,523,30.0,0.04659,0.045753,20.3081,26.0699,1,2458217.7180556,468120209,1,39.16759070976,29.494148,1.477222,2.151528,39.25819579262,58.281845,0.678129,1.039065,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,1.6006862046600006,0.0,1.6006862046600006,25.559134494907756,20.00571018783566
2,468,3,2,ZTF_r,467203400915,0,3.7137,279.589,8.15625,25.713,2.80631e-05,0.0456622,0.135124,4.26133e-05,498,30.0,0.060485,0.055223,19.2762,25.713,1,2458221.7034028,468120209,1,-110.6207306675,51.534081,-2.387794,1.190525,-90.80995175022,73.293213,-1.24734,1.146711,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,-148.18763517259998,0.0,-148.18763517259998,,
3,468,3,2,ZTF_r,470178540915,0,1.8891,267.01,7.67553,25.6635,1.03804e-05,0.0283627,0.102636,1.57975e-05,521,30.0,0.042196,0.043302,19.7572,25.6635,1,2458224.6785417,468120209,1,38.95597227279,31.834978,1.361207,1.18401,153.21506671049,59.4203,2.595863,1.048397,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,1.3890677676900012,0.0,1.3890677676900012,25.306691415145004,24.883154728842783
4,468,3,2,ZTF_r,473245330915,0,2.984,418.681,6.23999,26.1551,1.22735e-05,0.0306532,0.114062,1.86478e-05,514,30.0,0.061045,0.045847,20.1604,26.1551,1,2458227.7453356,468120209,1,-52.42105058259,34.923527,-1.669715,1.528849,63.13711489857,55.990246,1.13524,1.070294,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,-89.98795508769,0.0,-89.98795508769,,
5,468,3,2,ZTF_r,477147210915,0,1.8178,426.077,10.4685,26.1954,9.5404e-06,0.0273225,0.0929452,1.45358e-05,522,30.0,0.042486,0.047514,19.9641,26.1954,1,2458231.6472106,468120209,1,-158.92564933169,40.027946,-4.416574,2.568408,5.51444390304,79.894272,0.069487,1.033931,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,-196.49255383679002,0.0,-196.49255383679002,,
6,468,3,2,ZTF_g,481207540915,0,2.512,128.814,14.9923,26.2617,2.75852e-05,0.0400252,-0.0204105,5.6329e-05,371,30.0,0.049272,0.045446,19.3435,26.2617,1,2458235.7075463,468120109,1,-64.06265454851,77.650612,-0.91773,0.947472,-134.08663479996,125.631683,-1.074488,1.076134,0.150795818021505,16.8499996185303,0.0099999997764825,0.375,-0.0120000001043081,2458166.891343,2458442.020185,0,,,0.0,,,
7,468,3,2,ZTF_g,484147780915,0,2.9323,126.916,15.2413,26.2771,3.01743e-05,0.0382684,-0.050279,6.6089e-05,323,30.0,0.053501,0.048206,19.172,26.2771,1,2458238.6477894,468120109,1,185.08662834092,89.278938,2.306114,0.898088,155.6905054879,135.133728,1.159881,1.06895,0.150795818021505,16.8499996185303,0.0099999997764825,0.375,-0.0120000001043081,2458166.891343,2458442.020185,0,,,0.0,,,
8,468,3,2,ZTF_r,489150700915,0,2.3194,413.207,7.19123,26.1536,7.2149e-06,0.0238238,0.0756607,1.09195e-05,522,30.0,0.045709,0.04937,20.1367,26.1536,1,2458243.650706,468120209,1,-31.0247492168,31.102781,-1.109593,1.413823,-164.86195027955,56.655853,-2.929482,1.037159,0.132933957057017,16.356000328064,0.017000000923872,0.532000005245209,-0.0309999994933605,2458160.768681,2458450.010741,0,37.5669045051,-68.5916537219,0.0,-68.5916537219,,
9,468,3,2,ZTF_g,489192610915,0,3.0071,119.489,5.18692,26.248,1.69147e-05,0.0356032,-0.129903,2.7292e-05,495,30.0,0.060617,0.055442,20.262,26.248,1,2458243.6926157,468120109,1,-21.4219786459,27.951162,-0.85254,1.145402,-51.56931867171,43.203045,-1.201689,1.044536,0.150795818021505,16.8499996185303,0.0099999997764825,0.375,-0.0120000001043081,2458166.891343,2458442.020185,0,,,0.0,,,
