sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,468,3,3,ZTF_r,463199741015,0,1.8439,326.731,7.83847,25.7982,9.7248e-06,0.0277099,0.0967656,1.45979e-05,531,30.0,0.046683,0.045828,19.9256,25.7982,1,2458217.6997454,468120210,1,20.8155874221,28.496796,0.812545,1.083642,32.30999730917,57.433983,0.566348,1.032575,0.0368680762821961,17.9069999694824,0.0140000004321337,0.335999995470047,0.0040000001899898,2458160.768681,2458450.010741,0,-90.0145223481,110.8301097702,0.0,110.8301097702,20.6865555915594,0.27916604252182914
1,468,3,2,ZTF_r,463199740915,0,1.9054,312.463,7.77719,25.8391,9.888e-06,0.027897,0.0914241,1.50438e-05,523,30.0,0.044145,0.044877,19.9023,25.8391,1,2458217.6997454,468120209,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
2,468,3,4,ZTF_r,463199741115,0,1.8296,304.009,7.86323,25.8102,9.7274e-06,0.0272495,0.0903276,1.50726e-05,496,30.0,0.042412,0.039791,19.9014,25.8102,1,2458217.6997454,468120211,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
3,468,3,4,ZTF_r,463218051115,0,1.6985,383.461,6.88083,26.0515,8.5136e-06,0.0257783,0.104347,1.32241e-05,502,30.0,0.046009,0.043837,20.283,26.0515,1,2458217.7180556,468120211,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
4,468,3,3,ZTF_r,463218051015,0,1.6906,409.696,6.7518,26.0207,7.5461e-06,0.0244823,0.0974939,1.13044e-05,532,30.0,0.051904,0.048288,20.2962,26.0207,1,2458217.7180556,468120210,1,42.47309530903,24.930763,1.895104,1.180841,10.70343773106,49.633877,0.2171,1.0319,0.0368680762821961,17.9069999694824,0.0140000004321337,0.335999995470047,0.0040000001899898,2458160.768681,2458450.010741,0,-90.0145223481,132.48761765713,0.0,132.48761765713,20.715261772892823,0.20430763629092763
5,468,3,2,ZTF_r,463218050915,0,1.746,385.092,7.0798,26.0699,7.8071e-06,0.0247117,0.101638,1.18405e-05,523,30.0,0.04659,0.045753,20.3081,26.0699,1,2458217.7180556,468120209,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
6,468,3,2,ZTF_r,467203400915,0,3.7137,279.589,8.15625,25.713,2.80631e-05,0.0456622,0.135124,4.26133e-05,498,30.0,0.060485,0.055223,19.2762,25.713,1,2458221.7034028,468120209,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
7,468,3,3,ZTF_r,467203401015,0,4.6729,281.985,8.23594,25.6357,3.26797e-05,0.0456984,0.119401,5.06362e-05,426,30.0,0.073448,0.057453,19.0133,25.6357,1,2458221.7034028,468120210,1,50.3072242112,54.740231,1.0223,1.069964,60.82363333004,72.966293,0.8392,1.158448,0.0368680762821961,17.9069999694824,0.0140000004321337,0.335999995470047,0.0040000001899898,2458160.768681,2458450.010741,0,-90.0145223481,140.3217465593,0.0,140.3217465593,20.26788754589959,0.4235512464093134
8,468,3,4,ZTF_r,467203401115,0,3.325,271.472,8.27731,25.7399,3.56405e-05,0.0497218,0.1229,5.61602e-05,448,30.0,0.071452,0.058339,19.2304,25.7399,1,2458221.7034028,468120211,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
9,468,3,2,ZTF_r,470178540915,0,1.8891,267.01,7.67553,25.6635,1.03804e-05,0.0283627,0.102636,1.57975e-05,521,30.0,0.042196,0.043302,19.7572,25.6635,1,2458224.6785417,468120209,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
