sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,525,2,2,ZTF_g,462264460515,0,3.4842,89.8273,4.35681,26.2439,2.2394e-05,0.0382996,-0.00858858,3.64985e-05,386,30.0,0.088457,0.070377,20.3978,26.2439,3,2458216.7644676,525120105,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458166.907303,2458275.711701,"57,61",-99999.0,0.0,0.0,0.0,,
1,525,2,4,ZTF_g,462264460715,0,3.5557,88.7161,4.57772,26.1949,1.75552e-05,0.0354032,-0.0118148,2.80794e-05,386,30.0,0.08316,0.059478,20.3096,26.1949,3,2458216.7644676,525120107,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458166.907303,2458249.690706,"57,61",-99999.0,0.0,0.0,0.0,,
2,525,2,3,ZTF_g,462264460615,0,3.5853,90.6096,3.94489,26.1946,2.59354e-05,0.0396975,0.00477674,4.41594e-05,344,30.0,0.091737,0.061795,20.3879,26.1946,3,2458216.7644676,525120106,1,-32.2415950088,29.366709,-1.221282,0.997862,-33.25644294337,39.445034,-0.848787,1.134857,0.334013112698712,21.6730000495911,0.104999996721745,1.09800004959106,0.0450000017881393,2458166.907303,2458249.690706,0,3.02647060406,-35.26806561286,0.0,-35.26806561286,,
3,525,2,4,ZTF_r,462282780715,0,3.1209,317.266,7.32601,26.1736,1.43889e-05,0.030816,0.134742,2.1744e-05,368,30.0,0.081478,0.058888,20.0361,26.275,3,2458216.7827894,525120207,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458184.876806,"57,61",-99999.0,0.0,0.0,0.0,,
4,525,2,3,ZTF_r,462282780615,0,3.1975,302.82,6.1833,26.2206,2.20532e-05,0.0344294,0.111322,3.55912e-05,309,30.0,0.087428,0.062612,20.0963,26.275,3,2458216.7827894,525120206,1,-0.78753817365,39.4986,-0.022179,0.943513,-6.62680508647,56.728127,-0.117604,1.106487,0.281936924797772,21.5090002059937,0.115000002086163,0.989000022411346,-0.222000002861023,2458155.925868,2458186.875729,56,0.8745849892650001,-1.662123162915,0.0,-1.662123162915,,
5,525,2,2,ZTF_r,463278910515,0,2.0872,216.129,6.38576,26.2212,7.7242e-06,0.0225235,0.108911,1.2018e-05,396,30.0,0.056462,0.053189,20.5326,26.275,3,2458217.778912,525120205,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458186.875729,"57,61",-99999.0,0.0,0.0,0.0,,
6,525,2,3,ZTF_r,463278910615,0,1.81,303.003,6.46515,26.1726,9.1024e-06,0.0237316,0.106829,1.4797e-05,359,30.0,0.057186,0.050335,20.5145,26.275,3,2458217.778912,525120206,1,-44.48546932004,23.317297,-2.122241,1.098694,-48.97746098237,44.988289,-1.096004,1.02924,0.281936924797772,21.5090002059937,0.115000002086163,0.989000022411346,-0.222000002861023,2458155.925868,2458186.875729,0,0.8745849892650001,-45.360054309305006,0.0,-45.360054309305006,,
7,525,2,4,ZTF_r,463278910715,0,1.8097,317.136,6.90471,26.1264,8.4141e-06,0.0246609,0.113541,1.24643e-05,406,30.0,0.055662,0.04939,20.4603,26.275,3,2458217.778912,525120207,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458184.876806,"57,61",-99999.0,0.0,0.0,0.0,,
8,525,2,3,ZTF_r,463279820615,0,2.0418,303.04,6.54341,26.1668,1.06236e-05,0.0257673,0.102929,1.73012e-05,359,30.0,0.059988,0.050515,20.4317,26.275,1,2458217.7798264,525120206,1,46.7285594867,27.153936,1.914275,0.9973,-5.80902885643,50.450043,-0.11592,1.034212,0.281936924797772,21.5090002059937,0.115000002086163,0.989000022411346,-0.222000002861023,2458155.925868,2458186.875729,0,0.8745849892650001,45.853974497435,0.0,45.853974497435,22.121557537253423,0.6429543292596005
9,525,2,2,ZTF_r,463279820515,0,2.1206,216.147,6.2829,26.233,8.3364e-06,0.0232906,0.109441,1.29198e-05,396,30.0,0.059046,0.049629,20.4541,26.275,1,2458217.7798264,525120205,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458186.875729,"57,61",-99999.0,0.0,0.0,0.0,,
