sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,473,13,2,ZTF_g,462262474915,0,3.3421,110.511,4.38795,26.161,2.35425e-05,0.0373575,-0.0275452,3.93217e-05,333,30.0,0.082594,0.083493,20.2813,26.161,3,2458216.7624769,473120149,1,-72.24710037307,31.120592,-2.582423,1.047904,-62.34984222532,42.474831,-1.477811,1.224539,0.196616120706243,19.4490000724792,0.0179999992251396,0.465999990701675,-0.0260000005364418,2458230.815625,2458284.711921,0,3.14434085355,-75.39144122662,0.0,-75.39144122662,,
1,525,2,3,ZTF_g,462264460615,0,3.5853,90.6096,3.94489,26.1946,2.59354e-05,0.0396975,0.00477674,4.41594e-05,344,30.0,0.091737,0.061795,20.3879,26.1946,3,2458216.7644676,525120106,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458166.907303,2458249.690706,"57,61",-99999.0,0.0,0.0,0.0,,
2,525,2,4,ZTF_g,462264460715,0,3.5557,88.7161,4.57772,26.1949,1.75552e-05,0.0354032,-0.0118148,2.80794e-05,386,30.0,0.08316,0.059478,20.3096,26.1949,3,2458216.7644676,525120107,1,-66.44855508937,30.725584,-2.405693,1.064001,-69.37526758134,41.472153,-1.684082,1.138024,0.101528675306932,19.4540001869202,0.0240000002086163,1.125,0.0379999987781048,2458166.907303,2458249.690706,0,2.4312373959,-68.87979248527,0.0,-68.87979248527,,
3,525,2,4,ZTF_r,462282780715,0,3.1209,317.266,7.32601,26.1736,1.43889e-05,0.030816,0.134742,2.1744e-05,368,30.0,0.081478,0.058888,20.0361,26.275,3,2458216.7827894,525120207,1,30.32577576961,41.010471,0.822568,1.034123,64.45249771959,59.321259,1.093817,1.104719,0.0583543313029495,18.8840002059937,0.0299999993294477,1.81099998950958,0.0989999994635582,2458155.925868,2458184.876806,56,27.115018562975,3.2107572066350016,0.0,3.2107572066350016,25.008481334966742,13.867929050153528
4,525,2,3,ZTF_r,462282780615,0,3.1975,302.82,6.1833,26.2206,2.20532e-05,0.0344294,0.111322,3.55912e-05,309,30.0,0.087428,0.062612,20.0963,26.275,3,2458216.7827894,525120206,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458186.875729,"57,61",-99999.0,0.0,0.0,0.0,,
5,525,2,4,ZTF_r,463278910715,0,1.8097,317.136,6.90471,26.1264,8.4141e-06,0.0246609,0.113541,1.24643e-05,406,30.0,0.055662,0.04939,20.4603,26.275,3,2458217.778912,525120207,1,0.71181972849,29.755991,0.02661,0.985798,-30.44690633408,56.703712,-0.540564,1.03018,0.0583543313029495,18.8840002059937,0.0299999993294477,1.81099998950958,0.0989999994635582,2458155.925868,2458184.876806,0,27.115018562975,-26.403198834485,0.0,-26.403198834485,,
6,525,2,3,ZTF_r,463278910615,0,1.81,303.003,6.46515,26.1726,9.1024e-06,0.0237316,0.106829,1.4797e-05,359,30.0,0.057186,0.050335,20.5145,26.275,3,2458217.778912,525120206,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458186.875729,"57,61",-99999.0,0.0,0.0,0.0,,
7,473,13,2,ZTF_r,463279364915,0,2.2317,215.676,6.26114,26.1062,9.5057e-06,0.0239977,0.109502,1.46009e-05,353,30.0,0.057614,0.070184,20.2461,26.1062,1,2458217.7793634,473120249,1,3.60830826025,29.784693,0.134761,0.988902,-15.54430421676,52.066479,-0.300558,1.082907,0.136349459869574,18.8850001335144,0.0419999994337559,2.16700005531311,0.185000002384186,2458185.927488,2458227.771262,0,32.3762157663,-28.76790750605,0.0,-28.76790750605,,
8,525,2,4,ZTF_r,463279820715,0,2.0204,317.116,7.64214,26.1369,8.171e-06,0.0243453,0.113226,1.21312e-05,408,30.0,0.058453,0.053653,20.398,26.275,1,2458217.7798264,525120207,1,-11.77777095182,28.753241,-0.45565,1.012176,-14.12884243331,53.151211,-0.267614,1.035359,0.0583543313029495,18.8840002059937,0.0299999993294477,1.81099998950958,0.0989999994635582,2458155.925868,2458184.876806,0,27.115018562975,-38.892789514795,0.0,-38.892789514795,,
9,525,2,3,ZTF_r,463279820615,0,2.0418,303.04,6.54341,26.1668,1.06236e-05,0.0257673,0.102929,1.73012e-05,359,30.0,0.059988,0.050515,20.4317,26.275,1,2458217.7798264,525120206,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458155.925868,2458186.875729,"57,61",-99999.0,0.0,0.0,0.0,,
