sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,473,9,2,ZTF_g,462262473315,0,3.7672,116.766,4.05184,26.1739,1.92682e-05,0.0373142,-0.0194578,3.68348e-05,371,30.0,0.09378,0.08343,20.2903,26.1739,3,2458216.7624769,473120133,1,-46.88046384142,34.47506,-1.512661,0.842213,-35.23746266159,44.641178,-0.794665,1.240225,0.196696280410622,19.5940000534058,0.0240000002086163,0.832000017166138,-0.0080000003799796,2458229.759537,2458280.711678,0,-13.97209379392,-32.9083700475,0.0,-32.9083700475,,
1,473,9,2,ZTF_r,463279363315,0,2.1151,239.319,6.0946,26.2009,6.8443e-06,0.0228721,0.125433,1.16927e-05,404,30.0,0.061211,0.061105,20.4728,26.2009,1,2458217.7793634,473120233,1,-3.42011877942,28.282564,-0.134517,0.899697,-13.92343983165,49.377453,-0.283879,1.070518,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,3.4999927134050006,0.0,3.4999927134050006,24.840732149503808,8.773562179309486
2,473,9,2,ZTF_r,463280273315,0,1.9504,240.093,6.09218,26.2089,7.4569e-06,0.023913,0.119888,1.27833e-05,405,30.0,0.056183,0.061746,20.5595,26.2089,3,2458217.7802778,473120233,1,-17.20893596356,24.743271,-0.773663,0.920115,-46.84843608753,44.777809,-1.053289,1.065562,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,-10.288824470734998,0.0,-10.288824470734998,,
3,473,9,2,ZTF_r,463304373315,0,1.9688,211.008,6.52182,26.0595,1.17063e-05,0.0298663,0.121323,2.00092e-05,404,30.0,0.061722,0.062101,20.3093,26.0595,3,2458217.804375,473120233,1,-55.94584542881,29.791645,-2.088951,0.965471,16.19044839852,54.750847,0.297703,1.071506,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,-49.025733935985,0.0,-49.025733935985,,
4,473,9,2,ZTF_r,463305303315,0,2.0831,215.498,6.40677,26.0826,9.351e-06,0.0268606,0.120881,1.60817e-05,406,30.0,0.059196,0.061818,20.3809,26.0826,1,2458217.8053009,473120233,1,30.28133249075,25.416874,1.32528,1.050287,45.67227559611,45.372231,1.013393,1.069864,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,37.201443983575004,0.0,37.201443983575004,22.156200506348505,0.7417997087897887
5,473,9,2,ZTF_r,464276673315,0,2.1962,210.82,6.82561,26.0567,8.8986e-06,0.0259941,0.125325,1.52081e-05,406,30.0,0.0569,0.061887,20.1852,26.0567,3,2458218.7766782,473120233,1,-35.7330866124,30.438744,-1.305866,0.957392,-54.38780003755,51.993347,-1.053098,1.084592,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,-28.812975119575,0.0,-28.812975119575,,
6,473,9,2,ZTF_r,464302563315,0,2.093,237.107,6.05224,26.1721,8.5466e-06,0.0253321,0.127936,1.46115e-05,403,30.0,0.055899,0.063008,20.4701,26.1721,3,2458218.8025694,473120233,1,31.16213071117,28.301754,1.22481,0.951829,49.7050436711,47.978451,1.042964,1.094203,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,38.082242203995,0.0,38.082242203995,22.220293722925135,0.8068915378290061
7,473,9,2,ZTF_r,465244443315,0,2.5284,204.257,7.08607,26.0326,1.22686e-05,0.0304107,0.128594,2.1171e-05,400,30.0,0.063913,0.070224,19.957,26.0326,3,2458219.7444444,473120233,1,39.28522632808,40.195377,1.087196,0.876797,40.82458109747,62.73914,0.655086,1.109445,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,46.205337820905,0.0,46.205337820905,21.87086962538153,0.9445137322003767
8,473,9,2,ZTF_r,465303983315,33554432,2.6699,105.35,9.09064,25.3084,3.48781e-05,0.0486906,0.128382,6.01295e-05,361,30.0,0.071318,0.079214,19.0303,25.3084,3,2458219.8039815,473120233,1,32.68873100019,47.772469,0.761159,1.064724,22.26228820806,74.572372,0.300543,1.137131,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,39.608842493015004,0.0,39.608842493015004,21.31391962248217,1.3095131268512161
9,473,9,2,ZTF_r,467255033315,0,4.2572,192.021,6.52204,25.9598,1.91775e-05,0.0367891,0.139904,3.28273e-05,372,30.0,0.08266,0.099699,19.7509,25.9598,1,2458221.7550347,473120233,1,41.53172538898,50.823254,0.909018,0.927051,54.59821686809,69.271736,0.793483,1.293258,0.18507463694546,19.4780000686645,0.025000000372529,0.556999981403351,0.0299999993294477,2458185.927488,2458227.771262,0,-6.920111492825001,48.451836881805,0.0,48.451836881805,21.74652438386484,1.1388762627519755
