sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,468,7,3,ZTF_r,463199742615,0,1.9053,330.311,7.83921,25.9192,1.04431e-05,0.0283831,0.099636,1.73318e-05,495,30.0,0.053642,0.051763,20.0588,25.9192,1,2458217.6997454,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
1,468,8,4,ZTF_r,463199743115,0,1.8007,321.124,7.64639,25.8768,1.09814e-05,0.0285408,0.116187,1.71499e-05,499,30.0,0.047996,0.054881,20.0481,25.8768,1,2458217.6997454,468120231,1,41.57777063238,33.447598,1.382774,19.70545,44.05197839101,65.517311,0.6769,1.044549,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,39.901233833970004,0.0,39.901233833970004,21.874334186910957,0.9101289514480757
2,468,7,3,ZTF_r,463218052615,0,1.8126,401.98,7.03262,26.1339,6.6053e-06,0.0226368,0.109834,1.10177e-05,495,30.0,0.052749,0.048394,20.3617,26.1339,1,2458217.7180556,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
3,468,8,4,ZTF_r,463218053115,0,1.7656,388.616,6.72166,26.0865,1.04995e-05,0.028011,0.11545,1.6382e-05,501,30.0,0.05247,0.048391,20.3638,26.0865,1,2458217.7180556,468120231,1,23.31919639785,33.052971,0.784798,68.369621,77.25857405865,63.008244,1.234424,1.047414,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,21.64265959944,0.0,21.64265959944,22.748223427953903,1.6581514450492523
4,468,8,4,ZTF_r,467203403115,0,5.8224,283.124,8.25238,25.7504,4.11865e-05,0.0513791,0.127525,6.57305e-05,440,30.0,0.073778,0.070222,19.0716,25.7504,1,2458221.7034028,468120231,1,34.65863676943,70.82193,0.544375,11.79187,-18.62688386547,91.254692,-0.205494,1.211385,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,32.98209997102,0.0,32.98209997102,21.95470424068025,2.3313837978603367
5,468,7,3,ZTF_r,467203402615,0,4.0389,300.025,8.21045,25.8361,2.34382e-05,0.0416183,0.12419,3.87809e-05,474,30.0,0.065703,0.064319,19.2523,25.8361,1,2458221.7034028,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
6,468,8,4,ZTF_r,470178543115,0,2.0023,273.64,7.46664,25.6904,1.26009e-05,0.0308052,0.122488,1.98765e-05,503,30.0,0.045472,0.047034,19.765,25.6904,1,2458224.6785417,468120231,1,-5.50036502543,37.138142,-0.16475,12.520546,-30.22207359551,66.611526,-0.456762,1.059853,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,-7.17690182384,0.0,-7.17690182384,,
7,468,7,3,ZTF_r,470178542615,0,1.9469,281.44,7.74666,25.7451,1.14242e-05,0.0298028,0.112954,1.88794e-05,499,30.0,0.048444,0.047273,19.8085,25.7451,1,2458224.6785417,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
8,468,7,3,ZTF_r,473245332615,0,2.9978,434.294,6.37266,26.2363,9.5853e-06,0.0272244,0.116574,1.58592e-05,493,30.0,0.063448,0.048507,20.1877,26.2363,1,2458227.7453356,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
9,468,8,4,ZTF_r,473245333115,0,4.0694,420.523,6.08314,26.185,1.37222e-05,0.0320158,0.12519,2.15945e-05,498,30.0,0.063769,0.052823,20.0821,26.185,1,2458227.7453356,468120231,1,1.67653679841,44.584656,0.041829,23.733147,13.53779914387,68.624184,0.198603,1.089485,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,0.0,0.0,0.0,,
10,468,7,3,ZTF_r,477147212615,0,1.6469,442.703,10.7524,26.2497,7.044e-06,0.0233036,0.111408,1.16552e-05,495,30.0,0.050079,0.053709,20.0541,26.2497,1,2458231.6472106,468120226,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458160.768681,2458450.010741,"57,61",-99999.0,0.0,0.0,0.0,,
11,468,8,4,ZTF_r,477147213115,0,1.6044,433.328,10.8566,26.2064,1.05906e-05,0.0281985,0.116391,1.67076e-05,502,30.0,0.052868,0.055413,20.0011,26.2064,1,2458231.6472106,468120231,1,20.4517203249,45.903378,0.49561,30.061985,168.59569926531,93.064308,1.823806,1.037886,0.136073342365864,19.9170001983643,0.0379999987781048,1.3289999961853,0.0280000008642673,2458160.768681,2458450.010741,0,1.67653679841,18.775183526489997,0.0,18.775183526489997,23.022439522739933,2.654512502899361
12,468,8,4,ZTF_g,481207543115,0,2.9526,129.885,14.5504,26.2152,2.34364e-05,0.0335886,-0.0335063,4.81752e-05,336,30.0,0.059806,0.060095,19.2942,26.2152,1,2458235.7075463,468120131,1,66.85155884552,95.323326,0.78013,1.689753,138.98526722871,146.558395,0.954714,1.097695,0.0574837033074108,20.138000202179,0.0329999998211861,1.01999998092651,0.0179999992251396,2458166.891343,2458444.02037,0,,,0.0,,,
13,468,7,3,ZTF_g,481207542615,0,2.6524,132.911,14.895,26.2551,2.48745e-05,0.0381902,-0.0318863,5.46641e-05,367,30.0,0.053296,0.051211,19.3281,26.2551,1,2458235.7075463,468120126,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458166.891343,2458444.02037,"57,61",,,0.0,,,
