sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,417,15,1,ZTF_r,463199295615,0,2.3532,270.621,8.12941,25.8531,8.7294e-06,0.0267886,0.0878105,1.21479e-05,595,30.0,0.046715,0.052302,19.7066,25.8531,1,2458217.699294,417120256,1,48.66892869762,37.216324,1.454699,0.99757,-103.23781537368,65.80143,-1.579497,1.04871,0.38851984620563,16.646000289917,0.0469999983906746,4.46400022506714,0.212999999523163,2458165.895613,2458450.02287,0,4.604854711475,44.064073986145,0.0,44.064073986145,21.742888380542112,0.9170080457724821
1,468,4,4,ZTF_r,463199741515,0,1.818,320.287,7.57618,25.7754,1.03591e-05,0.0298335,0.0950457,1.48836e-05,558,30.0,0.045871,0.047259,19.9707,25.7754,1,2458217.6997454,468120215,1,-32.97814630096,29.768667,-1.232315,0.884389,-95.68860076839,60.507362,-1.592088,1.03529,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,-61.13039869736,0.0,-61.13039869736,,
2,417,15,1,ZTF_r,463215745615,0,2.2697,317.904,7.21047,26.035,8.2042e-06,0.0260718,0.0907832,1.13621e-05,596,30.0,0.050139,0.047478,20.0505,26.035,1,2458217.7157407,417120256,1,-46.98747543228,30.234089,-1.728781,1.137568,47.07106566452,54.64534,0.867194,1.045941,0.38851984620563,16.646000289917,0.0469999983906746,4.46400022506714,0.212999999523163,2458165.895613,2458450.02287,0,4.604854711475,-51.592330143755,0.0,-51.592330143755,,
3,468,4,4,ZTF_r,463218051515,0,1.6425,396.522,6.67195,26.0043,8.4127e-06,0.0267304,0.0979872,1.20295e-05,557,30.0,0.053052,0.04694,20.2947,26.0043,1,2458217.7180556,468120215,1,100.29191686477,27.803965,4.01249,0.965101,136.15513135664,55.252224,2.480844,1.032906,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,72.13966446837,0.0,72.13966446837,21.35886470494275,0.41846287557331024
4,468,4,4,ZTF_r,467203401515,0,7.0223,265.83,8.09678,25.5966,3.07221e-05,0.0454864,0.113125,4.72759e-05,437,30.0,0.07893,0.065455,18.9476,25.5966,1,2458221.7034028,468120215,1,128.41101165169,64.803429,2.204241,0.992323,164.86846837977,84.120926,1.973099,1.16667,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,100.25875925528999,0.0,100.25875925528999,20.59379418567075,0.7017783740831652
5,417,15,1,ZTF_r,469179905615,0,2.5749,350.545,6.54135,26.1341,5.78e-06,0.0218552,0.0872494,8.01091e-06,597,30.0,0.046534,0.051949,20.2834,26.1341,1,2458223.6799074,417120256,1,-143.2320001197,26.055933,-6.114884,1.076072,-173.81738193212,48.257153,-3.626158,1.046794,0.38851984620563,16.646000289917,0.0469999983906746,4.46400022506714,0.212999999523163,2458165.895613,2458450.02287,0,4.604854711475,-147.836854831175,0.0,-147.836854831175,,
6,468,4,4,ZTF_r,470178541515,0,1.9305,275.191,7.42514,25.607,9.4936e-06,0.0285932,0.102623,1.35833e-05,559,30.0,0.046878,0.049959,19.7505,25.607,1,2458224.6785417,468120215,1,53.75867299409,28.920143,2.067773,1.21679,79.79649700161,54.221924,1.481577,1.044595,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,25.606420597689997,0.0,25.606420597689997,22.086127813231098,1.2262411367528268
7,468,4,4,ZTF_r,473245331515,0,4.7112,428.989,5.95744,26.1603,2.09014e-05,0.0409253,0.105539,2.99551e-05,530,30.0,0.074699,0.050652,20.0698,26.1603,1,2458227.7453356,468120215,1,81.28203294759,33.807583,2.674454,1.177439,101.31129956847,52.868244,1.929204,1.071571,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,53.129780551189995,0.0,53.129780551189995,21.846954944773184,0.690876500479792
8,417,15,1,ZTF_g,475166565615,0,3.7475,158.039,6.47513,26.2863,2.0675e-05,0.0393956,-0.0973031,3.36468e-05,504,30.0,0.066118,0.061533,19.8754,26.2863,1,2458229.6665625,417120156,1,65.34876508004,41.769279,1.740344,1.078887,124.47810778225,56.642445,2.212413,1.06702,0.48340796569262,17.4440004348755,0.0419999994337559,4.08300018310547,0.187000006437302,2458202.754676,2458441.984757,0,,,0.0,,,
9,468,4,4,ZTF_r,477147211515,0,1.6693,437.854,11.1818,26.1206,9.9328e-06,0.0292847,0.0889385,1.4182e-05,560,30.0,0.04948,0.045221,19.886,26.1206,1,2458231.6472106,468120215,1,163.270392018,36.109379,5.029702,1.138669,21.13529358171,73.353485,0.29007,1.028311,0.505536659378889,16.6519998550415,0.0500000007450581,4.17399978637695,0.230000004172325,2458160.768681,2458450.010741,0,28.1522523964,135.1181396216,0.0,135.1181396216,20.793815857483153,0.2901554167443965
10,417,15,1,ZTF_g,480229035615,0,2.706,155.671,17.0967,26.2425,2.37043e-05,0.0364424,-0.0423988,4.72785e-05,369,30.0,0.055886,0.079576,19.0905,26.2425,1,2458234.7290394,417120156,1,54.6935505528,88.020859,0.691203,1.11918,121.47573791604,137.748627,0.887805,1.078029,0.48340796569262,17.4440004348755,0.0419999994337559,4.08300018310547,0.187000006437302,2458202.754676,2458441.984757,0,,,0.0,,,
11,468,4,4,ZTF_g,481207541515,0,2.4847,130.954,14.6163,26.2046,2.46751e-05,0.0394043,-0.0263814,4.91446e-05,386,30.0,0.052085,0.05442,19.314,26.2046,1,2458235.7075463,468120115,1,97.85577738546,84.115608,1.294091,1.013287,84.29419673513,134.672516,0.630135,1.073241,0.61696789492095,17.4410001754761,0.0529999993741512,4.77799987792969,0.256999999284744,2458166.891343,2458444.02037,0,,,0.0,,,
