sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,473,13,2,ZTF_g,462262474915,0,3.3421,110.511,4.38795,26.161,2.35425e-05,0.0373575,-0.0275452,3.93217e-05,333,30.0,0.082594,0.083493,20.2813,26.161,3,2458216.7624769,473120149,1,71.99576723944,29.27989,2.73522,1.008255,82.78746863557,39.700615,2.099339,1.224539,0.0212383498409426,18.7869998931885,0.0529999993741512,4.18499994277954,0.24099999666214,2458230.815625,2458284.711921,0,2.91936821723,69.07639902221,0.0,69.07639902221,21.56267577610923,0.4602184985658279
1,473,14,1,ZTF_g,462262475215,0,3.5237,115.683,4.04867,26.21,1.92751e-05,0.0363671,-0.0231357,3.3966e-05,371,30.0,0.076469,0.065103,20.3953,26.21,3,2458216.7624769,473120152,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458214.780787,2458283.734155,"57,61",-99999.0,0.0,0.0,0.0,,
2,525,2,3,ZTF_g,462264460615,0,3.5853,90.6096,3.94489,26.1946,2.59354e-05,0.0396975,0.00477674,4.41594e-05,344,30.0,0.091737,0.061795,20.3879,26.1946,3,2458216.7644676,525120106,1,37.64427256021,29.639116,1.412825,1.075663,62.23770149956,39.594269,1.582473,1.134857,0.0388133718907368,18.7609998703003,0.0560000017285347,4.54400014877319,0.331999987363815,2458166.907303,2458249.690706,0,6.42356226693,31.22071029328,0.0,31.22071029328,22.45849305163508,1.0307344392850821
3,525,2,3,ZTF_r,462282780615,0,3.1975,302.82,6.1833,26.2206,2.20532e-05,0.0344294,0.111322,3.55912e-05,309,30.0,0.087428,0.062612,20.0963,26.275,3,2458216.7827894,525120206,1,25.58790720951,44.43401,0.640581,1.193971,80.9613506453,63.793255,1.277668,1.106487,0.0921263655644892,18.1670001983643,0.0520000010728836,4.43599987030029,0.287999987602234,2458155.925868,2458186.875729,56,-18.789657392975002,44.377564602485,0.0,44.377564602485,22.15709133777037,1.0871171911241673
4,525,2,3,ZTF_r,463278910615,0,1.81,303.003,6.46515,26.1726,9.1024e-06,0.0237316,0.106829,1.4797e-05,359,30.0,0.057186,0.050335,20.5145,26.275,3,2458217.778912,525120206,1,-82.20815633644,29.165829,-3.135417,0.947386,-4.11135876219,56.131725,-0.073738,1.02924,0.0921263655644892,18.1670001983643,0.0520000010728836,4.43599987030029,0.287999987602234,2458155.925868,2458186.875729,0,-18.789657392975002,-63.418498943464996,0.0,-63.418498943464996,,
5,473,14,1,ZTF_r,463279365215,0,2.4095,220.747,5.96741,26.1306,8.8741e-06,0.0251601,0.105036,1.45292e-05,393,30.0,0.051821,0.055681,20.3519,26.1306,1,2458217.7793634,473120252,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458185.927488,2458227.771262,"57,61",-99999.0,0.0,0.0,0.0,,
6,473,13,2,ZTF_r,463279364915,0,2.2317,215.676,6.26114,26.1062,9.5057e-06,0.0239977,0.109502,1.46009e-05,353,30.0,0.057614,0.070184,20.2461,26.1062,1,2458217.7793634,473120249,1,29.80975889888,27.89134,1.188896,1.125319,88.06108552242,48.829903,1.815572,1.082907,0.31546650273843,18.1980003356934,0.0750000029802322,5.18900012969971,0.41499999165535,2458185.927488,2458227.771262,0,-13.46986442608,43.27962332496,0.0,43.27962332496,22.015491319187824,0.6996973474063061
7,525,2,3,ZTF_r,463279820615,0,2.0418,303.04,6.54341,26.1668,1.06236e-05,0.0257673,0.102929,1.73012e-05,359,30.0,0.059988,0.050515,20.4317,26.275,1,2458217.7798264,525120206,1,-13.8008436048,31.2307,-0.491562,0.991609,-1.66441606206,58.202087,-0.02879,1.034212,0.0921263655644892,18.1670001983643,0.0520000010728836,4.43599987030029,0.287999987602234,2458155.925868,2458186.875729,0,-18.789657392975002,4.988813788175001,0.0,4.988813788175001,24.530006765446355,6.796866575840664
8,473,13,2,ZTF_r,463280274915,0,2.0227,217.15,6.26786,26.1002,1.07274e-05,0.0254635,0.100604,1.64827e-05,354,30.0,0.057736,0.062215,20.3587,26.1002,3,2458217.7802778,473120249,1,6.14028513332,26.015106,0.262553,0.945721,23.52073251326,46.966999,0.504166,1.079642,0.31546650273843,18.1980003356934,0.0750000029802322,5.18900012969971,0.41499999165535,2458185.927488,2458227.771262,0,-13.46986442608,19.6101495594,0.0,19.6101495594,22.868997735288158,1.4403532400027574
9,473,14,1,ZTF_r,463280275215,0,2.3336,219.515,5.96856,26.1371,7.5907e-06,0.0231607,0.103534,1.24046e-05,392,30.0,0.051853,0.058226,20.4446,26.1371,3,2458217.7802778,473120252,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,2458185.927488,2458227.771262,"57,61",-99999.0,0.0,0.0,0.0,,
