RA,Dec
36.87622833251953,-5.472806453704834
36.57933044433594,-5.472674369812012
36.36832809448242,-5.479786396026611
36.39606857299805,-5.476799964904785
36.8389892578125,-5.476673126220703
36.7299690246582,-5.476508140563965
36.35091018676758,-5.476318836212158
36.24554443359375,-5.4538350105285645
37.09979248046875,-5.452454566955566
36.785545349121094,-5.4667816162109375
36.2645263671875,-5.466031551361084
36.81882858276367,-5.465476989746094
36.45287322998047,-5.460199356079102
36.83313751220703,-5.459564685821533
36.79501724243164,-5.449148178100586
36.52170944213867,-5.446999549865723
37.01847457885742,-5.4459123611450195
36.39936447143555,-5.446349620819092
36.342529296875,-5.439144134521484
36.80047607421875,-5.438724040985107
36.826168060302734,-5.437063217163086
36.4294319152832,-5.433957576751709
37.10128402709961,-5.432770729064941
36.871673583984375,-5.431788444519043
36.37846374511719,-5.431674957275391
36.8853874206543,-5.429687976837158
36.89084243774414,-5.428406715393066
36.84421157836914,-5.426403045654297
37.09947204589844,-5.422805309295654
36.9056510925293,-5.4178385734558105
36.24427795410156,-5.4131035804748535
36.944908142089844,-5.4119553565979
36.9969367980957,-5.411468029022217
36.67626953125,-5.410764694213867
36.463226318359375,-5.407086372375488
36.934749603271484,-5.4710469245910645
36.86651611328125,-5.395955562591553
36.43458557128906,-5.393861770629883
36.98860549926758,-5.451225280761719
36.131587982177734,-5.388696193695068
36.204341888427734,-5.387360572814941
36.287391662597656,-5.385494709014893
36.899452209472656,-5.383340835571289
36.87615203857422,-5.383203983306885
36.480533599853516,-5.383050918579102
36.76335525512695,-5.384186744689941
36.751922607421875,-5.381825923919678
36.9830207824707,-5.460494041442871
36.938758850097656,-5.3749775886535645
36.43174743652344,-5.376667499542236
36.69922637939453,-5.378703594207764
36.251670837402344,-5.3682146072387695
36.57052993774414,-5.364696025848389
36.657142639160156,-5.427243709564209
36.95969009399414,-5.361323833465576
36.60966110229492,-5.3649001121521
35.99979019165039,-5.363325119018555
36.98033905029297,-5.360528945922852
36.788612365722656,-5.4260358810424805
36.16228103637695,-5.351757049560547
36.54690170288086,-5.41179084777832
35.98775100708008,-5.338908672332764
36.870445251464844,-5.346530914306641
36.122562408447266,-5.33819580078125
36.772098541259766,-5.340719223022461
36.33879470825195,-5.338205814361572
36.288543701171875,-5.351542949676514
36.82270431518555,-5.336813926696777
36.978816986083984,-5.336634159088135
36.39597702026367,-5.332644939422607
36.22087097167969,-5.328912734985352
36.940582275390625,-5.319835662841797
36.96232223510742,-5.375401496887207
