diaObjectId,ra,dec
609788049252941901,53.52887885543894,-28.595991232183678
609788049252942017,53.53114509579025,-28.583778873911413
609788049252941934,53.53796203950908,-28.580889088961708
609788049252942033,53.5802505228509,-28.519510308894954
609788667728232560,53.64795797710596,-28.4700977069736
609788667728232684,53.6836005329128,-28.435547512302307
609789354922999980,53.821447094433786,-28.29353420106637
609787430777651246,53.29038907053458,-28.757310898277595
609787499497128028,53.23883529678109,-28.738119632447813
609787499497128043,53.21623860561227,-28.715315616579804
609787499497128040,53.24348423937094,-28.692275856332852
609787430777651223,53.34090791603708,-28.69678673097237
609788117972418827,53.36510338608062,-28.628380544368202
609788117972419533,53.372525571300976,-28.593931075244782
609788117972419018,53.323393010875876,-28.581462360955427
609788186691896310,53.196073654533166,-28.657764784045465
609788186691896241,53.20560283366793,-28.62757076881435
609788186691897733,53.12210969370584,-28.63077788801481
609788186691896325,53.120021089201245,-28.59672476400087
609788186691896207,53.25536899851616,-28.62653230875735
609788186691896217,53.25444197453542,-28.610173046573955
609788117972419628,53.27823575614735,-28.599962840250452
609788186691896080,53.24543145750066,-28.598462766975242
609788186691896504,53.24819555343896,-28.58206737601425
609788117972418738,53.278219026881516,-28.567834893469463
609788186691897611,53.22570291578336,-28.552569208359316
609788186691897210,53.22015809700099,-28.538216083672808
609788186691896496,53.244856052563065,-28.516227209900606
609780764988408577,52.92558083775312,-28.652591106901905
609780833707884882,52.90702289771303,-28.649715510221036
609780833707884771,52.90547822974607,-28.647129076037455
609788255411372249,53.008249894288525,-28.668921935686445
609780764988408581,52.975906806478406,-28.65473513463391
609788255411372707,53.05603591450216,-28.605900625754533
609788255411372741,53.00799865079232,-28.623191605723274
609780833707884713,52.86855962381487,-28.619702777783335
609780833707884804,52.85468707722072,-28.580673804041854
609780833707885980,52.812688330502795,-28.588899726235923
609780764988408790,52.92167930862032,-28.601244044293548
609780764988408086,52.9267947782695,-28.589682714904875
609780764988408248,52.96519399941728,-28.540915436896313
609780833707885078,52.858309886197326,-28.5424339405817
609780833707885188,52.856657336376266,-28.51850865113122
609788186691895898,53.076498579018775,-28.601448391615616
609788255411372378,53.058919420456206,-28.571693974110175
609788255411372322,53.01529098096753,-28.565444160789422
609788255411372393,53.02540841495652,-28.534314816281658
609788873886671036,53.19863287853922,-28.49369600231781
609788873886671523,53.165109040009895,-28.444910374883953
609788873886671672,53.21372666271682,-28.409720979363858
609788942606141372,53.00228203516511,-28.470158473145393
609781452183176154,52.96530500377384,-28.482534143573602
609788942606141713,52.99942056438916,-28.442420234512607
609788942606141694,53.01358925779587,-28.44307000846056
609781452183176198,52.976536390500705,-28.408382911466656
609788873886670976,53.121083374724755,-28.409420309251136
609788873886671464,53.10229524594491,-28.406589797180708
609788873886671232,53.14479396043221,-28.3975446614323
609788873886670650,53.10718923785826,-28.369714640328425
609788873886671613,53.13534106636681,-28.349012385116957
609788873886671454,53.12311367295582,-28.343925604840678
609789561081433985,53.08088989647908,-28.313235110383513
609789561081433937,53.08369211838365,-28.301053809313604
609781589622129969,52.5787653385303,-28.492116046181227
609780833707884857,52.742113562886324,-28.60084884089796
609780833707884717,52.816735856758505,-28.542472622396417
609780902427361308,52.705589825682885,-28.54716776096107
609781520902655731,52.738148647678514,-28.50400406878277
609780833707884716,52.81372492694458,-28.520613233532252
609780833707884744,52.82065033047139,-28.514815182835658
609780833707884810,52.847014785961896,-28.51073131792137
609781520902655566,52.80741773041319,-28.47759860765302
609781520902656001,52.79176029842723,-28.481109065978394
609781520902655566,52.80741773041319,-28.47759860765302
609781520902654342,52.76445023903293,-28.47748018478287
609781589622129783,52.639744595038415,-28.481793246667948
609781589622129953,52.63667541904239,-28.47797754593076
609781589622129362,52.5986184636541,-28.450269939848535
609781589622129654,52.60268941943833,-28.42282396962858
609781520902656138,52.737259584378094,-28.417145774144117
609781520902655923,52.76136902286533,-28.427020337727914
609781589622129776,52.67385591578743,-28.39594984262909
609781589622129781,52.668514018659735,-28.367523685104022
609781589622130021,52.6732021191096,-28.364041348720956
609781520902655933,52.74700214859284,-28.354808056687318
609782208097422031,52.73912016792779,-28.327137667763946
609782276816896007,52.7049948967454,-28.325166873380045
609781520902655863,52.90015867019089,-28.39523863783327
609781452183176123,52.9571615041456,-28.357734410775326
609782139377942569,52.94845112041753,-28.334938229885765
609781452183176029,52.90937911134971,-28.355757348849973
609782139377942625,52.92876566629378,-28.310504318421508
609782139377942573,52.924129739017076,-28.31449779964989
609782139377942573,52.924129739017076,-28.31449779964989
609782139377944111,52.9078557692784,-28.306792343969487
609789629800907908,53.02648874999715,-28.327148834500253
609782139377942599,52.98374198093685,-28.305907993731875
609789629800908127,53.050052206484686,-28.303527307277083
609789629800908094,53.041655253039146,-28.300478434822363
609789629800907926,53.05565058437236,-28.264680819942495
609782139377942560,52.95009007674934,-28.3126916879861
609782139377944105,52.98639635481491,-28.295548697658887
609782139377944118,52.92111545842483,-28.300275387614096
609782139377943354,52.940102347587434,-28.28896727106537
611253766972247504,52.9702330593766,-28.25606115666265
609782208097419746,52.8146042026465,-28.339195163695365
609782208097422014,52.85524782241592,-28.303798446120442
609782208097422024,52.87079077111705,-28.307118463994332
609782208097422024,52.87079077111705,-28.307118463994332
609782208097421348,52.76712108613425,-28.278319163224346
611253835691723033,52.77995355186305,-28.255064528613033
611253766972247507,52.964478330377794,-28.226193014904602
611253766972247694,52.94109764718055,-28.193053731251837
611254522886490767,52.87093237847288,-28.17730064664856
609781589622129550,52.55186760268253,-28.41650726378275
609781589622129142,52.54515884273677,-28.42051077630415
