 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 1246 5 1 ZTF_r 1399364081715 0 2.3226 470.187 20.2505 26.1944 3.06739e-05 0.0418922 0.128348 4.36984e-05 374 30. 0.068422 0.089572 18.9795 26.1944 2 2459153.8640856 1246120217 1 68.7187014649341 92.5620363335004 0.825841769763444 0.960014597557731 86.4601319434433 161.38238913162 0.539355293814421 1.04128096684513 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 10 1246 5 1 ZTF_r 1399364541715 0 2.3869 485.852 19.5271 26.2074 2.98354e-05 0.0416413 0.123262 4.24529e-05 377 30. 0.070855 0.094734 19.0106 26.2074 3 2459153.8645486 1246120217 1 41.7552940116554 99.748638323583 0.465649746984683 0.928525994747192 73.8673104079791 172.366175018155 0.431435059608958 1.04248100194106 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 11 1246 5 1 ZTF_g 1400332291715 0 2.5287 510.593 21.012 26.0978 4.99432e-05 0.0412674 -0.0279308 0.000114354 198 30. 0.078646 0.086749 18.7646 26.0978 3 2459154.8322917 1246120117 1 -41.2820098732252 105.952584798673 -0.433415140364725 0.989526866973645 -93.8858580404058 176.578926023027 -0.535274434072026 1.0425576939421 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 12 1246 5 1 ZTF_g 1404309201715 0 3.4208 490.626 12.0278 26.08 6.05884e-05 0.0480954 -0.0349693 0.000131522 223 30. 0.110145 0.148726 19.0879 26.08 2 2459158.8092014 1246120117 1 -111.451773288601 76.0187322919792 -1.63087682365732 0.958325352135449 -118.416247166459 105.25922193569 -1.13257332908112 1.08003152755339 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 13 1246 5 1 ZTF_g 1404309671715 0 3.5177 495.979 12.049 26.0896 6.31555e-05 0.048396 -0.0491202 0.000137318 217 30. 0.108708 0.16607 19.0812 26.0896 3 2459158.8096759 1246120117 1 -56.5479796656724 74.633714649952 -0.842823888508495 1.06551497327611 -141.101151960072 101.180194193995 -1.40394548032203 1.09280348006819 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 14 1246 5 1 ZTF_r 1414309391715 0 2.2617 478.417 8.72764 26.2042 1.50972e-05 0.0294962 0.122661 2.15885e-05 382 30. 0.066988 0.081312 19.9721 26.2042 2 2459168.8093981 1246120217 1 43.5571725264417 39.9833861641975 1.21181105422087 0.954371348655706 72.3277525487611 70.5138493830466 1.0326323801726 1.04351766209161 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 15 1246 5 1 ZTF_r 1414309861715 0 2.1518 477.492 8.70875 26.2024 1.42892e-05 0.0289523 0.124362 2.04555e-05 384 30. 0.068143 0.083351 20.0287 26.2024 3 2459168.8098611 1246120217 1 2.62618705356582 41.3788373622677 0.0705995890639189 0.915472101100507 -34.6960199141017 74.4371109619537 -0.469251145739774 1.04283212431878 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 16 1246 5 1 ZTF_g 1421268511715 33554464 2.1688 26.412 10.4801 23.0854 0.00386569 0.0509412 -0.271434 0.014347 21 30. 0.093042 0.094465 16.6182 23.0854 2 2459175.7685185 1246120117 1 -0.364744522218776 49.0452322803674 -0.00827269063350513 0.997674574432865 75.3622738559526 89.7956564258323 0.844916626551971 1.04961052794109 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 17 1246 5 1 ZTF_g 1421268981715 33554480 2.2 32.421 11.4282 23.0963 0.0132094 0.0491541 -0.136816 0.0557859 11 30. 0.095714 0.094532 16.5248 23.0963 3 2459175.7689815 1246120117 1 -30.5683307527527 48.2500607092444 -0.704739575961089 1.18697357255055 -53.9731562924921 88.0580809522831 -0.617054880345468 1.04494040282866 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 18 1246 5 1 ZTF_g 1422261221715 0 2.5891 483.81 9.33076 26.0387 2.92122e-05 0.0393446 -0.0327642 4.96605e-05 311 30. 0.064 0.086649 19.6059 26.0387 2 2459176.7612269 1246120117 1 20.2184629826752 49.487021603505 0.454476699051952 0.936472750415855 -49.051567827283 79.6406513566246 -0.620059380700552 1.05851814212021 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
