index,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc,mag_lim
0,468,7,2,ZTF_r,445257212615,0,1.6098,64.1623,11.7321,24.1472,7.51587e-05,0.0538581,0.118806,0.00013564,272,30.0,0.058323,0.048973,17.8165,24.1472,1,2458199.7572106,468120226,1,33.9327307355891,46.4880409796177,0.81195575940533,1.01584140962962,-11.5604392167496,95.8200381619846,-0.121459975003648,1.03565011127734,0.262643301408122,17.6589998245239,0.0560000017285347,4.3439998626709,0.361000001430511,2458160.768681,2458450.010741,0,229.0882509800515,-195.1555202444624,0.0,-195.1555202444624,,,18.23142187599671
1,468,7,2,ZTF_r,445273272615,0,1.7494,314.941,8.8804,25.8681,9.9255e-06,0.0269829,0.105873,1.62458e-05,469,30.0,0.048795,0.044392,19.9027,25.8681,1,2458199.7732755,468120226,1,2.0752954804374,32.1211721304496,0.0718692903657903,1.04698501734188,26.0010081483415,63.7431644907125,0.410649936245323,1.03455749837938,0.262643301408122,17.6589998245239,0.0560000017285347,4.3439998626709,0.361000001430511,2458160.768681,2458450.010741,0,229.0882509800515,-227.0129554996141,0.0,-227.0129554996141,,,20.353696527430206
2,468,7,2,ZTF_g,448255122615,0,2.5655,136.281,8.7128,26.2614,1.58272e-05,0.0327816,-0.0365667,2.88827e-05,429,30.0,0.051772,0.052045,19.9759,26.2614,1,2458202.7551273,468120126,1,57.6848344162403,43.8209393219582,1.46431586861219,0.982242537867667,87.0586702439066,68.9095614859177,1.27188467764119,1.09066246933959,0.427551920205164,18.4709999084473,0.0480000004172325,3.65100002288818,0.237000003457069,2458166.891343,2458444.02037,0,423.605431399188,-365.9205969829477,0.0,-365.9205969829477,,,20.409770782594645
3,468,7,2,ZTF_g,453262482615,0,2.261,134.453,20.0112,26.2605,2.56258e-05,0.0354402,-0.0189335,5.42282e-05,320,30.0,0.056904,0.050535,19.1055,26.2605,1,2458207.7624884,468120126,1,63.3691205083597,97.6792962981845,0.721655554265204,1.02118178600381,164.137735292256,163.15767922283,1.01278231689862,1.07236038881311,0.427551920205164,18.4709999084473,0.0480000004172325,3.65100002288818,0.237000003457069,2458166.891343,2458444.02037,0,423.605431399188,-360.2363108908283,0.0,-360.2363108908283,,,19.538568683657473
4,468,7,2,ZTF_g,453286672615,0,2.3089,134.248,20.9606,26.2561,3.05363e-05,0.0383381,-0.0368427,6.87466e-05,313,30.0,0.052615,0.04957,19.0324,26.2561,1,2458207.7866782,468120126,1,97.9432918039362,116.25514439924,0.937167711734691,0.902012143181701,-2.00594775466821,193.80642851145,-0.0104199739075663,1.06934448900771,0.427551920205164,18.4709999084473,0.0480000004172325,3.65100002288818,0.237000003457069,2458166.891343,2458444.02037,0,423.605431399188,-325.6621395952518,0.0,-325.6621395952518,,,19.345144539345952
5,468,7,2,ZTF_g,456264092615,0,2.2957,112.48,14.2126,26.0477,2.60285e-05,0.0392668,-0.0216654,5.46165e-05,363,30.0,0.050406,0.051725,19.3029,26.0477,1,2458210.7640972,468120126,1,155.098479334989,74.1782156174576,2.32587279475745,0.956039415175233,220.569845158653,121.054160205085,1.83434749685649,1.07987571478666,0.427551920205164,18.4709999084473,0.0480000004172325,3.65100002288818,0.237000003457069,2458166.891343,2458444.02037,0,423.605431399188,-268.50695206419897,0.0,-268.50695206419897,,,19.62458403412295
6,468,7,2,ZTF_g,456275422615,0,2.6891,100.775,15.3754,25.924,5.31729e-05,0.0459534,-0.023566,0.000116169,273,30.0,0.053452,0.052037,18.9218,25.924,1,2458210.7754282,468120126,1,63.8414580054016,84.7041818777986,0.838402849681948,0.978594808141912,128.592222434264,127.76176604483,1.01327887409974,1.09894511335216,0.427551920205164,18.4709999084473,0.0480000004172325,3.65100002288818,0.237000003457069,2458166.891343,2458444.02037,0,423.605431399188,-359.7639733937864,0.0,-359.7639733937864,,,19.356812858798982
7,468,7,2,ZTF_r,460195482615,0,2.4428,85.8512,10.5907,24.4666,7.44128e-05,0.052911,0.106763,0.000132037,276,30.0,0.065518,0.055704,17.9396,24.4666,1,2458214.6954861,468120226,1,-31.0445283727238,51.2328449242108,-0.674048885457962,1.05981260391759,-20.7268102014496,84.7275508151594,-0.24627652115418,1.06359104097676,0.262643301408122,17.6589998245239,0.0560000017285347,4.3439998626709,0.361000001430511,2458160.768681,2458450.010741,0,229.0882509800515,-260.1327793527753,0.0,-260.1327793527753,,,18.44530380761953
8,468,7,2,ZTF_r,460220252615,33554432,3.0798,77.5294,10.6446,24.4132,0.000104368,0.0623864,0.0899983,0.000193599,265,30.0,0.062231,0.054342,17.8622,24.4132,1,2458214.7202546,468120226,1,91.5334911451393,55.9380652668406,1.82023468926556,1.04017394914346,57.470106773339,91.4732377071643,0.632503808755677,1.06851195519113,0.262643301408122,17.6589998245239,0.0560000017285347,4.3439998626709,0.361000001430511,2458160.768681,2458450.010741,0,229.0882509800515,-137.5547598349122,0.0,-137.5547598349122,,,18.29650638584387
9,468,7,2,ZTF_r,463199742615,0,1.9053,330.311,7.83921,25.9192,1.04431e-05,0.0283831,0.099636,1.73318e-05,495,30.0,0.053642,0.051763,20.0588,25.9192,1,2458217.6997454,468120226,1,-15.8457037466595,30.4079503212646,-0.579667812909853,1.04074871950154,-75.5235405475388,60.6302560682629,-1.25403059246134,1.03882190385009,0.262643301408122,17.6589998245239,0.0560000017285347,4.3439998626709,0.361000001430511,2458160.768681,2458450.010741,0,229.0882509800515,-244.933954726711,0.0,-244.933954726711,,,20.46430712148336
