index,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc,mag_lim
0,422,15,3,ZTF_g,450300435915,0,3.0234,172.447,10.9733,26.3243,3.43877e-05,0.0457034,-0.0439749,6.8484e-05,350,30.0,0.082494,0.067478,19.5545,26.3243,1,2458204.8004398,422120159,1,95.3988976406465,62.0726098798107,1.70961433814991,1.07187191628714,8.51263042685787,92.296518827127,0.0928525104896736,1.06812414102806,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,76.46045288211934,0.0,76.46045288211934,21.615707834860522,0.8814292530315129,
1,422,15,3,ZTF_g,450317465915,0,3.3912,174.508,10.9879,26.3254,3.11271e-05,0.0409835,-0.038342,6.47669e-05,310,30.0,0.090397,0.07344,19.4538,26.3254,1,2458204.8174653,422120159,1,53.281347953504,71.3029524768034,0.831232454206693,1.00782101074216,48.093816783733,98.5482417233204,0.491309946886524,1.09697936161809,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,34.342903194976856,0.0,34.342903194976856,22.48580748578983,2.254212364362283,
2,422,15,3,ZTF_g,456301925915,0,2.308,144.311,22.1275,26.1181,4.65705e-05,0.0429,-0.0141399,0.000101077,235,30.0,0.072897,0.059861,18.8294,26.1181,1,2458210.8019213,422120159,1,-125.0091717385,101.397937658927,-1.37141077355287,1.11779688023027,-380.809499909368,169.563423902559,-2.26094911849272,1.08156020311675,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-143.94761649702716,0.0,-143.94761649702716,,,19.355602184320905
3,422,15,3,ZTF_g,456323955915,1,2.3859,95.9211,55.038,25.2294,0.00174934,0.105023,-0.123722,0.00486401,49,30.0,0.083885,0.05917,16.9011,25.2294,1,2458210.8239583,422120159,1,-86.0835078431861,196.8190830066,-0.486527679217453,0.974896982372008,-466.373646606855,318.197058034444,-1.47554695461293,1.09639789083667,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-105.02195260171325,0.0,-105.02195260171325,,,17.746806978989245
4,422,15,3,ZTF_g,460279405915,33554432,2.7181,59.1338,6.34903,25.1337,4.74368e-05,0.047879,0.00129709,0.000100827,280,30.0,0.084761,0.072987,19.119,25.1337,1,2458214.7794097,422120159,1,-35.2259199331879,37.0601957248514,-1.05732727651777,0.943599839060012,-60.2197074734377,56.6886219467524,-1.06944371879338,1.12097897027874,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-54.16436469171505,0.0,-54.16436469171505,,,19.46400571762299
5,422,15,3,ZTF_r,460327075915,0,3.3409,156.256,10.9422,25.0937,6.0475e-05,0.0488662,0.0887065,0.000100998,252,30.0,0.094288,0.078602,18.2572,25.0937,1,2458214.8270718,422120259,1,-167.496004006982,67.1690257837084,-2.77389617794583,1.08850517860636,-147.689232989596,91.828259020247,-1.61915220932463,1.13517177093824,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-191.6739078979353,0.0,-191.6739078979353,,,18.778352365764263
6,422,15,3,ZTF_r,463280745915,0,1.983,436.611,6.71226,26.179,7.4338e-06,0.0228945,0.0995417,1.21777e-05,422,30.0,0.058626,0.055832,20.4383,26.179,1,2458217.7807407,422120259,1,-80.9927475957965,27.0751576969951,-3.32759098068647,1.04416815480456,-72.3550366782449,50.5387065498635,-1.4413180903501,1.04920004488191,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-105.1706514867498,0.0,-105.1706514867498,,,20.85014750211828
7,422,15,3,ZTF_r,463304835915,0,1.7339,413.471,7.67831,26.1139,7.2624e-06,0.0226558,0.105539,1.19302e-05,420,30.0,0.060154,0.054468,20.4022,26.1139,1,2458217.804838,422120259,1,-149.784563354901,23.0770023734247,-7.22008755466795,1.11940701258804,-190.482602793265,45.3887181994595,-4.22495989509481,1.04301751276729,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-173.9624672458543,0.0,-173.9624672458543,,,20.958526502347382
8,422,15,3,ZTF_r,470265645915,0,2.6464,400.358,6.47001,26.1035,9.8668e-06,0.0266101,0.111913,1.6082e-05,429,30.0,0.068574,0.06262,20.0683,26.1035,1,2458224.7656481,422120259,1,-267.152792014153,36.6843791389005,-8.10090138049079,0.980543174124757,-285.72343130161,58.9045658970307,-4.88328520327823,1.07518562495949,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-291.3306959051063,0.0,-291.3306959051063,,,20.444872055911098
9,422,15,3,ZTF_r,470279085915,0,2.368,422.735,6.95968,26.1242,8.5623e-06,0.0246576,0.113004,1.40023e-05,425,30.0,0.060024,0.062354,20.2368,26.1242,1,2458224.7790856,422120259,1,-239.422373440115,31.9667010260349,-8.33147151029094,1.09161690437256,-336.975314350129,53.656653124352,-6.32251254460288,1.07596489282321,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-263.6002773310683,0.0,-263.6002773310683,,,20.61503044102963
10,422,15,3,ZTF_g,475259985915,0,3.1712,160.572,5.84407,26.3329,1.76145e-05,0.0351393,-0.11086,2.99207e-05,413,30.0,0.080722,0.070073,20.1824,26.3329,1,2458229.7599884,422120159,1,-113.226387062294,32.0661881275663,-3.92785199265901,1.15228223692102,-120.997545003453,48.4187890376663,-2.51580993353371,1.05916245770044,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-132.16483182082115,0.0,-132.16483182082115,,,20.82035664870564
11,422,15,3,ZTF_r,479189545915,0,1.7912,440.48,12.9847,26.2271,1.09346e-05,0.0280418,0.0979916,1.78439e-05,427,30.0,0.058462,0.054127,19.7886,26.2271,1,2458233.6895486,422120259,1,-77.3131756989315,49.1735726477663,-1.74894660649821,1.0555816592233,-124.512789619412,97.8038800725384,-1.28166071047857,1.04521958568628,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-101.4910795898848,0.0,-101.4910795898848,,,20.250345582688915
12,422,15,3,ZTF_g,483168655915,0,2.7032,164.29,24.3991,26.2645,5.47563e-05,0.0423914,-0.0637794,0.000129567,207,30.0,0.077096,0.069555,18.7028,26.2645,1,2458237.6686574,422120159,1,-194.405718581169,120.947839207858,-1.78799262480699,0.947190857375876,-61.4204595894073,197.160573020541,-0.313623200476905,1.05341931431958,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-213.34416333969614,0.0,-213.34416333969614,,,19.310579704448827
13,422,15,3,ZTF_g,483231065915,0,2.6372,170.665,22.2595,26.3212,4.86911e-05,0.0419885,-0.0349474,0.000108528,225,30.0,0.081212,0.063862,18.9223,26.3212,1,2458237.7310648,422120159,1,-48.9607540685393,119.704054278413,-0.454981815379597,1.07807065792099,-91.9614708083291,185.704588388097,-0.498538228962533,1.09638954783608,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-67.89919882706644,0.0,-67.89919882706644,,,19.37850283952394
14,422,15,3,ZTF_g,488228785915,0,2.2967,155.74,5.03704,26.2995,1.32733e-05,0.030463,-0.11129,2.1564e-05,419,30.0,0.056416,0.054684,20.5997,26.2995,1,2458242.7287847,422120159,1,-120.804855267612,25.1166689230606,-5.3502878678957,0.990189455211326,-94.9232266670545,43.6617386040989,-2.18870212491,1.04939531376495,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-139.74330002613914,0.0,-139.74330002613914,,,21.052169886793724
15,422,15,3,ZTF_r,488312735915,0,2.1538,428.066,8.70391,26.183,9.462e-06,0.0257009,0.0999706,1.53507e-05,419,30.0,0.056062,0.055909,19.9834,26.183,1,2458242.8127315,422120259,1,-148.547508635153,38.6826646469519,-4.27172996100844,1.04061617349247,-66.3877618066407,71.4286759132989,-0.935687052118218,1.0489931431356,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-172.7254125261063,0.0,-172.7254125261063,,,20.46678403235382
16,422,15,3,ZTF_r,491188245915,0,1.9116,155.019,10.3058,25.0601,3.77691e-05,0.0492889,0.10501,6.07818e-05,392,30.0,0.070973,0.064951,18.7385,25.0601,1,2458245.6882407,422120259,1,5.14043848324031,44.8122400974271,0.127602244355435,0.97657688226029,-9.48933000636934,82.7490170143691,-0.115448394852486,1.05551044178242,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-19.03746540771299,0.0,-19.03746540771299,,,19.184183353677994
17,422,15,3,ZTF_g,491230085915,0,2.2634,14.176,8.26139,23.4458,0.00215458,0.154936,0.0529291,0.00608334,78,30.0,0.084471,0.063562,17.2204,23.4458,1,2458245.730081,422120159,1,13.0686465179522,37.3983453114494,0.388716544221671,0.946569625518864,-60.7240265741814,64.0904806031077,-0.953854703719378,1.07421052835594,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-5.869798240574948,0.0,-5.869798240574948,,,17.766244020958503
18,422,15,3,ZTF_g,495189805915,0,2.3901,164.229,5.66761,26.2375,1.05236e-05,0.0275582,-0.031469,1.71617e-05,424,30.0,0.064898,0.071618,20.5318,26.2375,1,2458249.6898032,422120159,1,-52.8570093796088,22.4220523694128,-2.62229789214532,1.13483085004894,-44.1931541921032,36.3630571353471,-1.22351642389793,1.10813277401739,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-71.79545413813594,0.0,-71.79545413813594,,,21.113386582705683
19,422,15,3,ZTF_r,495254325915,0,4.6619,436.103,5.54358,26.1778,1.61709e-05,0.0339754,0.118887,2.62573e-05,426,30.0,0.092346,0.095112,19.9133,26.1778,1,2458249.7543287,422120259,1,-165.996419642224,46.3990098108032,-3.97964936616705,1.70821082698993,-19.6791409430312,60.9412851685417,-0.325094573157229,1.21337150559841,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-190.1743235331773,0.0,-190.1743235331773,,,20.264103207939392
20,422,15,3,ZTF_i,503207075915,0,2.0081,229.943,7.14191,25.519,2.5374e-06,0.0204354,0.18365,1.08405e-05,434,30.0,0.063145,0.057564,19.6123,25.519,1,2458257.7070718,422120359,1,-134.665685970992,27.6163557588625,-5.42432097225486,1.13106228347147,-58.2537930769625,53.0512719038809,-1.10546144550914,1.03991144411112,0.268300542717181,16.6669999694824,0.0469999983906746,3.00300002098083,0.229000002145767,2458257.707072,2459323.749306,0,-16.7582591645165,-117.9074268064755,0.0,-117.9074268064755,,,20.16865906733298
21,422,15,3,ZTF_r,503210095915,0,1.764,416.963,6.11894,26.1453,8.0728e-06,0.0242295,0.109907,1.32442e-05,431,30.0,0.060709,0.054163,20.5276,26.1453,1,2458257.7100926,422120259,1,-184.645673066321,24.2595860736122,-8.46662938552573,1.33814703676555,-119.485272913329,46.7936676335549,-2.57064725173875,1.05014929668969,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-208.8235769572743,0.0,-208.8235769572743,,,20.935666522924222
22,422,15,3,ZTF_i,507188785915,0,1.8416,229.482,13.415,25.5235,7.4549e-06,0.0339435,0.182295,3.09701e-05,415,30.0,0.069155,0.075206,18.919,25.5235,1,2458261.6887847,422120359,1,-148.487319286438,65.8940438194445,-2.50667487212844,1.02076561609804,-105.099803064741,111.682927118966,-0.947393294702797,1.08750834992873,0.268300542717181,16.6669999694824,0.0469999983906746,3.00300002098083,0.229000002145767,2458257.707072,2459323.749306,0,-16.7582591645165,-131.72906012192152,0.0,-131.72906012192152,,,19.2289595882308
23,422,15,3,ZTF_g,513165825915,0,2.2192,154.323,17.7996,26.3024,3.89807e-05,0.0457082,-0.0834899,7.9789e-05,315,30.0,0.05691,0.054076,19.3412,26.3024,1,2458267.6658218,422120159,1,-132.024000723154,75.8276442018536,-1.93677926310575,0.9513305647163,-140.382677346545,138.874794244566,-1.01766604605363,1.04052132116383,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-150.96244548168113,0.0,-150.96244548168113,,,19.855406080105723
24,422,15,3,ZTF_g,516252065915,0,2.3598,142.477,11.2448,26.1548,2.09926e-05,0.0366676,-0.0231421,4.09223e-05,368,30.0,0.063923,0.056302,19.6835,26.1548,1,2458270.7520602,422120159,1,-30.8885670076869,52.2800235564238,-0.657229104513607,1.05522379418636,-80.391267785426,87.930457791899,-0.920417220968016,1.0742780576978,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-49.82701176621404,0.0,-49.82701176621404,,,20.111535552675676
25,422,15,3,ZTF_r,520196095915,0,2.2616,432.985,6.15178,26.2189,7.2812e-06,0.0227331,0.0957343,1.18353e-05,426,30.0,0.056579,0.052237,20.3552,26.2189,1,2458274.6960995,422120259,1,-96.2868279008754,26.2375502710434,-4.08223871202345,1.16636044181812,-194.752428774137,48.3412207876158,-4.05583670400857,1.03998710455299,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-120.4647317918287,0.0,-120.4647317918287,,,20.92416677991551
26,422,15,3,ZTF_g,520252515915,0,2.3128,149.763,4.68974,26.2423,9.5583e-06,0.0262539,-0.081375,1.56738e-05,427,30.0,0.063172,0.057148,20.6127,26.2423,1,2458274.7525116,422120159,1,3.40718726007951,22.471608508848,0.168661766293254,1.10835943230767,45.6617842120876,39.7016217857866,1.1578700538717,1.04971554346629,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-15.531257498447637,0.0,-15.531257498447637,,,21.115789588762485
27,422,15,3,ZTF_g,523190195915,0,2.1182,157.418,5.78503,26.1858,1.12189e-05,0.0285311,-0.0354907,1.84584e-05,422,30.0,0.064825,0.063469,20.4984,26.1858,1,2458277.6901968,422120159,1,-74.9938420805194,25.0063780013533,-3.33602743260801,0.90494004126469,-81.0724664512205,43.8864978926745,-1.85976320956086,1.06755840440991,0.245179061025876,17.4679996490479,0.0299999993294477,2.49000000953674,0.125,2458204.80044,2458495.000961,0,18.938444758527147,-93.93228683904655,0.0,-93.93228683904655,,,20.943248009727764
28,422,15,3,ZTF_r,523232395915,0,1.8979,410.737,7.64986,26.1411,8.5213e-06,0.0247934,0.103364,1.38808e-05,428,30.0,0.061696,0.057705,20.2599,26.1411,1,2458277.7323958,422120259,1,-62.9714531888493,27.2542308255783,-2.57018619700757,1.17044680410416,-168.619627280029,53.4581565958351,-3.1754796831977,1.03487590141001,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-87.1493570798026,0.0,-87.1493570798026,,,20.805090164685332
29,422,15,3,ZTF_r,526172185915,0,2.4038,448.309,8.49748,26.221,9.8949e-06,0.0267629,0.095742,1.6099e-05,431,30.0,0.066502,0.058837,19.92,26.221,1,2458280.6721875,422120259,1,-178.524892634118,40.4431782656031,-4.91030313562811,1.0523209295238,-151.623277637103,69.9859900028541,-2.1810717992186,1.05072232978373,0.193829296114617,16.8659996032715,0.0399999991059303,2.91899991035461,0.179000005125999,2458165.89294,2458450.018148,0,24.1779038909533,-202.7027965250713,0.0,-202.7027965250713,,,20.456461794898164
