 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 761 2 3 ZTF_g 450437330715 0 2.7898 138.824 7.13579 26.3006 1.13269e-05 0.0354784 -0.0727732 2.1681e-05 655 30. 0.048136 0.054585 20.1014 26.3006 2 2458204.937338 761120107 1 38.8068661660368 39.1909080962763 1.10148363035385 1.06969668416296 6.77822835218897 62.2810653069821 0.109565886140369 1.04481072439634 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 10 761 2 3 ZTF_g 450457150715 0 2.5587 140.095 5.90888 26.3146 8.2231e-06 0.030572 -0.0853917 1.48554e-05 675 30. 0.048308 0.047909 20.4275 26.3146 2 2458204.9571528 761120107 1 107.84896472602 29.264344387184 4.09951030674661 1.12810227401739 51.655457289881 48.758028212556 1.06655994249843 1.03668479147262 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 11 761 2 3 ZTF_g 450462600715 0 2.7557 140.139 5.42473 26.3115 7.8259e-06 0.0298675 -0.0786998 1.4133e-05 673 30. 0.054194 0.052691 20.4196 26.3115 2 2458204.9626042 761120107 1 8.39809884640694 28.4511318301453 0.32834940612512 1.01954448260733 -9.49324938500021 45.5111171378092 -0.209996756108226 1.0437033875367 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 12 761 2 3 ZTF_g 450463510715 0 2.65 140.473 5.32978 26.3209 8.5801e-06 0.0312394 -0.0870748 1.54736e-05 676 30. 0.05263 0.053619 20.4764 26.3209 1 2458204.9635185 761120107 1 35.4222670030827 28.5003207161183 1.38255178172972 1.05030155605096 30.9896573777883 46.4519929196462 0.671626178820412 1.04026761199966 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 13 761 2 3 ZTF_g 450496940715 0 3.1869 140.335 4.35752 26.3173 1.01732e-05 0.0340763 -0.0831079 1.86637e-05 672 30. 0.071036 0.056837 20.5456 26.3173 1 2458204.9969444 761120107 1 -283.030985025151 27.9496916738253 -11.2644959337728 1.23547561009512 -62.9947186245091 40.9949912786944 -1.54699366192572 1.0769240823948 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 14 761 2 3 ZTF_g 450497850715 0 3.4177 139.741 4.37911 26.306 1.1801e-05 0.036613 -0.0700263 2.18641e-05 670 30. 0.074782 0.05995 20.4426 26.306 2 2458204.9978588 761120107 1 -3.25156735962937 31.2808168068364 -0.115629719346014 1.09248221251708 -21.9145326294894 43.0181967644624 -0.512855719834014 1.10062746591349 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 15 761 2 3 ZTF_g 450501800715 0 2.9207 139.812 4.36976 26.3053 7.7148e-06 0.02984 -0.0688255 1.37988e-05 684 30. 0.067495 0.054428 20.5739 26.3053 2 2458205.0018056 761120107 1 49.2398827955213 26.9400973761923 2.03316511952992 1.13968741467317 51.2263911342235 40.5320962584702 1.27235965041016 1.06218599279535 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 16 761 2 3 ZTF_g 451407810715 0 3.3691 124.77 10.12 26.1776 2.84376e-05 0.0486106 -0.0527496 6.88089e-05 486 30. 0.071702 0.062242 19.4032 26.1776 2 2458205.9078125 761120107 1 100.37652926233 64.2798715725017 1.73704862440408 1.04884283615887 13.1552135258575 89.5145625185983 0.147951509488599 1.07984664148448 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 17 761 2 3 ZTF_g 451421080715 0 2.5277 62.7444 13.6477 25.5017 4.12348e-05 0.0451142 -0.0645941 0.000108774 333 30. 0.051169 0.050952 18.6445 25.5017 2 2458205.921088 761120107 1 131.455143839659 69.006870294929 2.11904439139818 0.972971030414543 206.755735930543 115.405130708996 1.80363079551958 1.04279684066995 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 18 761 2 3 ZTF_g 451456350715 0 2.6382 135.577 8.64808 26.2628 1.35551e-05 0.0383016 -0.0514939 2.72808e-05 634 30. 0.053085 0.052143 19.9357 26.2628 2 2458205.9563542 761120107 1 83.1761528757752 42.8176955775227 2.16087845882215 1.0758582466944 -18.8339538056146 68.8640464759928 -0.275336732858347 1.04983783903413 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 19 761 2 3 ZTF_g 451461620715 0 2.2335 137.009 8.24045 26.2781 8.6601e-06 0.0315944 -0.0578336 1.60797e-05 674 30. 0.042523 0.044032 20.2643 26.2781 2 2458205.9616204 761120107 1 47.2578074628463 32.1641084139171 1.63439435024135 1.20137063293991 -41.5769695009051 57.1777613028925 -0.732050220729846 1.0355018309689 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 20 761 2 3 ZTF_g 451480490715 0 2.3471 137.363 7.26839 26.276 8.2692e-06 0.0308162 -0.0482965 1.54823e-05 671 30. 0.046175 0.046297 20.3263 26.276 2 2458205.9804977 761120107 1 111.677489509444 29.2839030209007 4.24220336072653 1.15701595684198 25.3055167130326 49.7373486893138 0.512209667290107 1.04648967185915 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 21 761 2 3 ZTF_g 451502600715 0 2.2858 138.117 4.96254 26.2717 6.9485e-06 0.0285527 -0.0549391 1.25593e-05 689 30. 0.046108 0.047043 20.766 26.2717 2 2458206.0026042 761120107 1 -53.9730703628543 21.6093162043049 -2.77837524668111 1.20623217282306 -107.926851327579 37.40320241174 -2.90493160678478 1.04398823006874 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 22 761 2 3 ZTF_g 452402110715 0 2.0422 135.909 11.1968 26.3192 1.03258e-05 0.033646 -0.0645003 2.01812e-05 646 30. 0.041628 0.043782 19.8949 26.3192 2 2458206.9021181 761120107 1 93.3890191881361 46.3302651219991 2.24225927918034 1.05545764250646 -24.4258449095449 88.8168183268003 -0.276865967995718 1.02837060101687 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 23 761 2 3 ZTF_g 452433460715 0 1.7624 138.029 10.7512 26.3182 7.0122e-06 0.027985 -0.0514153 1.35929e-05 652 30. 0.04123 0.042551 20.0507 26.3182 2 2458206.9334606 761120107 1 112.470437518799 39.646602310083 3.15563824732221 1.14716272507631 -124.533720445791 78.2692798937634 -1.60180932274068 1.02920013685596 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 24 761 2 3 ZTF_g 452457100715 0 1.738 137.908 10.3708 26.2869 8.1687e-06 0.0305929 -0.0338627 1.53926e-05 668 30. 0.03878 0.043105 20.0728 26.2869 2 2458206.9571065 761120107 1 43.5399271728461 39.4731927001305 1.22698780026473 1.05846745873883 40.3648867359243 78.5183695711815 0.517544452239819 1.03202656894699 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 25 761 2 3 ZTF_g 452478280715 0 1.6979 137.506 10.0318 26.3044 8.1551e-06 0.0305249 -0.0336974 1.52349e-05 671 30. 0.03772 0.042182 20.1179 26.3044 2 2458206.978287 761120107 1 25.8173833107805 33.3617733701325 0.860830995538308 1.32882596033736 18.0468030203261 65.9064213134794 0.275668878918075 1.03284376992437 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 26 761 2 3 ZTF_g 452479760715 0 1.6337 137.575 10.0073 26.308 9.2952e-06 0.032722 -0.0421028 1.70913e-05 675 30. 0.03833 0.043715 20.1455 26.308 2 2458206.9797685 761120107 1 103.60142364809 34.6147128786677 3.32935258975432 1.13641569247534 43.6936906340538 69.623568869515 0.631797117967721 1.0290573164756 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 27 761 2 3 ZTF_g 452502440715 0 1.8177 136.988 8.94804 26.2938 8.729e-06 0.031802 -0.0442917 1.57807e-05 682 30. 0.039935 0.042856 20.201 26.2938 2 2458207.0024421 761120107 1 64.4940323625145 33.3589806210696 2.15060950656174 1.1908339809611 91.3610009250219 63.7690997481044 1.44233371469907 1.03751052325673 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 28 761 2 3 ZTF_g 453409900715 0 1.7987 140.919 13.2628 26.2856 1.47051e-05 0.0395928 -0.0240034 3.00336e-05 625 30. 0.039855 0.041726 19.8066 26.2856 2 2458207.9099074 761120107 1 -12.4981219709984 48.4204393388145 -0.287124884915953 1.1697135150978 -154.002788242931 93.5937468364651 -1.65652098695421 1.04006018097785 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 29 761 2 3 ZTF_g 453435130715 0 1.878 140.556 12.8534 26.2926 1.1674e-05 0.0353454 -0.0268078 2.38537e-05 631 30. 0.037405 0.042704 19.8182 26.2926 2 2458207.9351389 761120107 1 -150.805317628185 50.3937903290357 -3.32885157949455 1.08293211791669 -104.456590272293 95.8029004513945 -1.09767147886123 1.04417849031577 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 30 761 2 3 ZTF_g 453438960715 0 1.9313 142.07 12.7137 26.2979 1.38369e-05 0.0383924 -0.0174686 2.85212e-05 623 30. 0.039254 0.043074 19.8068 26.2979 2 2458207.9389699 761120107 1 20.9830021445031 49.7942036541574 0.468752540951206 1.10124672015875 25.5748365944902 93.6857792099052 0.27482382926776 1.04168550496763 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 31 761 2 3 ZTF_g 453439880715 0 1.8857 142.242 12.6762 26.3121 1.14708e-05 0.0348145 -0.0370011 2.35449e-05 624 30. 0.038043 0.041233 19.8496 26.3121 1 2458207.9398843 761120107 1 23.6095697709843 50.0517658391859 0.524714988656269 1.28163009892598 -22.4553946579855 94.528872376225 -0.239150562835466 1.04376285892492 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 32 761 2 3 ZTF_g 453478220715 0 1.999 143.344 12.0533 26.2937 1.25768e-05 0.0367191 -0.0245191 2.55971e-05 632 30. 0.040443 0.045063 19.8475 26.2937 2 2458207.9782292 761120107 1 19.9567681373273 50.8383768172662 0.436669980631912 1.19907756450007 82.534194746849 94.2839666008544 0.881274624866211 1.0458685596101 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 33 761 2 3 ZTF_g 453480190715 0 1.9152 142.787 12.0801 26.2991 1.20814e-05 0.0362389 -0.0258506 2.42921e-05 641 30. 0.037349 0.043727 19.8757 26.2991 2 2458207.9801968 761120107 1 -8.51956973489736 49.2866313031428 -0.192284079542035 1.21653067038534 17.9980012592795 93.3071787780711 0.194188904546887 1.04130779861587 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 34 761 2 3 ZTF_g 453481110715 0 1.8398 142.492 12.0281 26.2978 1.20081e-05 0.0362756 -0.0176161 2.38227e-05 643 30. 0.03909 0.041627 19.9042 26.2978 1 2458207.9811111 761120107 1 -29.9752163287699 50.4939689014909 -0.660355225618439 1.18341075771034 -62.2102578311892 95.6245227546121 -0.654949647776653 1.04207965200258 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 35 761 2 3 ZTF_g 453500670715 0 2.2444 141.89 11.6425 26.2999 1.47624e-05 0.0391623 -0.0168761 3.10646e-05 610 30. 0.045568 0.048464 19.8114 26.2999 2 2458208.0006713 761120107 1 -65.9443056294087 52.8143227170561 -1.38893008766742 1.04576810461823 -52.2017140588358 91.624025976002 -0.573575490125348 1.0602218274327 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 36 761 2 3 ZTF_g 454404230715 0 1.9003 86.2188 23.3846 25.8157 4.12028e-05 0.044087 -0.0273919 0.000105524 319 30. 0.040172 0.046361 18.6513 25.8157 2 2458208.9042361 761120107 1 -102.84002442717 89.4349603237626 -1.27911518168489 1.04260689315022 68.3808496161638 169.298175928068 0.406628117492913 1.04633643736688 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 37 761 2 3 ZTF_g 454421360715 0 2.0262 76.7224 24.1173 25.6832 5.04405e-05 0.0455957 -0.0289853 0.000128398 276 30. 0.043979 0.048182 18.4248 25.6832 2 2458208.9213657 761120107 1 10.8995653650256 94.1975496902351 0.128713581664092 1.01983746977529 -120.552200247592 174.519806041844 -0.695417494465474 1.04490161107993 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 38 761 2 3 ZTF_g 454441290715 0 2.1137 116.26 18.7815 26.0972 2.4836e-05 0.0422391 -0.0255971 5.76806e-05 426 30. 0.043642 0.047998 19.0901 26.0972 2 2458208.9412963 761120107 1 -66.9831882873469 82.6103328478561 -0.901957853686611 0.927487230045052 -46.7872647529318 146.552539363546 -0.321402685190593 1.05224499124731 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 39 761 2 3 ZTF_g 454480620715 0 2.2922 91.0417 22.1646 25.8256 6.05311e-05 0.0504375 -0.00833966 0.000154265 295 30. 0.046612 0.049159 18.5932 25.8256 2 2458208.980625 761120107 1 73.3477716857306 104.101223833654 0.783765044667032 1.00207354308718 285.396591652814 180.863374645468 1.5885955610475 1.0587340830682 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 40 761 2 3 ZTF_g 454501750715 0 2.3275 113.54 18.0543 26.0946 2.32104e-05 0.0385211 -0.0232956 5.64928e-05 400 30. 0.046476 0.048745 19.0457 26.0946 2 2458209.0017593 761120107 1 1.22611425429222 88.6706772821844 0.015381748877607 1.02837881158498 131.018416416427 148.391967846953 0.888867739291409 1.0676218449127 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 41 761 2 3 ZTF_g 455478580715 0 2.6979 135.508 13.6602 26.2811 2.07019e-05 0.0407763 -0.00214455 4.82638e-05 478 30. 0.056607 0.058522 19.4 26.2811 2 2458209.978588 761120107 1 -229.377747050022 74.7711074032625 -3.41249694324104 0.943016578772693 -86.0735704803885 114.130808015634 -0.759245311905083 1.09013078815617 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
